candidate_id,planta,volumen,indice_tier,tier,costo_unitario_usd,costo_packaging_usd
t3_0_c00579,buenos_aires,614,0,tier_1,0.66,405.24
t3_0_c00581,bakersfield,107753,3,tier_4,0.48,51721.439999999995
t3_0_c00581,buenos_aires,13149,0,tier_1,0.66,8678.34
t3_0_c00581,curitiba,1153905,4,tier_5,0.42,484640.1
t3_0_c00581,monterrey,9868,0,tier_1,0.66,6512.88
t3_0_c00581,santiago,702148,4,tier_5,0.42,294902.16
t3_0_c00582,bakersfield,501426,4,tier_5,0.42,210598.91999999998
t3_0_c00640,buenos_aires,151645,3,tier_4,0.48,72789.59999999999
t3_0_c00640,curitiba,561611,4,tier_5,0.42,235876.62
t3_0_c00640,monterrey,8746,0,tier_1,0.66,5772.360000000001
t3_0_c00640,santiago,534129,4,tier_5,0.42,224334.18
t3_0_c00641,curitiba,1151498,4,tier_5,0.42,483629.16
t3_0_c00641,santiago,358852,3,tier_4,0.48,172248.96
t3_0_c00674,buenos_aires,47162,1,tier_2,0.6,28297.2
t3_0_c00680,curitiba,16673,0,tier_1,0.66,11004.18
t3_0_c00680,monterrey,56662,2,tier_3,0.54,30597.480000000003
t3_0_c00736,bakersfield,933364,4,tier_5,0.42,392012.88
t3_0_c00736,curitiba,770631,4,tier_5,0.42,323665.01999999996
t3_0_c00736,monterrey,97776,2,tier_3,0.54,52799.04
t3_0_c00787,bakersfield,189965,3,tier_4,0.48,91183.2
t3_0_c00787,buenos_aires,26741,1,tier_2,0.6,16044.599999999999
t3_0_c00787,curitiba,531274,4,tier_5,0.42,223135.08
t3_0_c00787,monterrey,13262,0,tier_1,0.66,8752.92
t3_0_c00787,santiago,1317627,4,tier_5,0.42,553403.34
t3_0_c00852,buenos_aires,799422,4,tier_5,0.42,335757.24
t3_0_c00852,curitiba,102837,3,tier_4,0.48,49361.759999999995
t3_0_c00852,monterrey,246883,3,tier_4,0.48,118503.84
t3_0_c00887,curitiba,596629,4,tier_5,0.42,250584.18
t3_0_c00920,bakersfield,108981,3,tier_4,0.48,52310.88
t3_0_c00945,monterrey,363755,3,tier_4,0.48,174602.4
t3_0_c00975,bakersfield,105837,3,tier_4,0.48,50801.759999999995
t3_0_c00975,buenos_aires,108180,3,tier_4,0.48,51926.4
t3_0_c00975,curitiba,689381,4,tier_5,0.42,289540.01999999996
t3_0_c00975,monterrey,24887,1,tier_2,0.6,14932.199999999999
t3_0_c00975,santiago,596741,4,tier_5,0.42,250631.22
t3_0_c01082,bakersfield,124643,3,tier_4,0.48,59828.64
t3_0_c01082,buenos_aires,31465,1,tier_2,0.6,18879.0
t3_0_c01082,curitiba,133592,3,tier_4,0.48,64124.159999999996
t3_0_c01082,monterrey,68117,2,tier_3,0.54,36783.18
t3_0_c01082,santiago,444710,3,tier_4,0.48,213460.8
t3_0_c01097,bakersfield,548570,4,tier_5,0.42,230399.4
t3_0_c01097,buenos_aires,1038747,4,tier_5,0.42,436273.74
t3_0_c01097,curitiba,511189,4,tier_5,0.42,214699.38
t3_0_c01097,monterrey,320112,3,tier_4,0.48,153653.75999999998
t3_0_c01097,santiago,1186593,4,tier_5,0.42,498369.06
t3_0_c01170,curitiba,36919,1,tier_2,0.6,22151.399999999998
t3_0_c01340,bakersfield,8505,0,tier_1,0.66,5613.3
t3_0_c01340,buenos_aires,9595,0,tier_1,0.66,6332.700000000001
t3_0_c01340,curitiba,21846,1,tier_2,0.6,13107.6
t3_0_c01340,monterrey,7201,0,tier_1,0.66,4752.66
t3_0_c01340,santiago,50891,2,tier_3,0.54,27481.140000000003
t3_0_c01351,buenos_aires,153351,3,tier_4,0.48,73608.48
t3_0_c01390,curitiba,555569,4,tier_5,0.42,233338.97999999998
t3_0_c01416,bakersfield,965010,4,tier_5,0.42,405304.2
t3_0_c01416,buenos_aires,179630,3,tier_4,0.48,86222.4
t3_0_c01416,curitiba,1940596,4,tier_5,0.42,815050.32
t3_0_c01416,monterrey,2482827,4,tier_5,0.42,1042787.34
t3_0_c01416,santiago,509083,4,tier_5,0.42,213814.86
t3_0_c01533,curitiba,65147,2,tier_3,0.54,35179.380000000005
t3_0_c01534,buenos_aires,87473,2,tier_3,0.54,47235.420000000006
t3_0_c01591,curitiba,2066,0,tier_1,0.66,1363.5600000000002
t3_0_c01591,santiago,137568,3,tier_4,0.48,66032.64
t3_0_c01592,curitiba,136351,3,tier_4,0.48,65448.479999999996
t3_0_c01592,santiago,431487,3,tier_4,0.48,207113.75999999998
t3_0_c01620,buenos_aires,150371,3,tier_4,0.48,72178.08
t3_0_c01709,curitiba,108202,3,tier_4,0.48,51936.96
t3_0_c01713,santiago,789776,4,tier_5,0.42,331705.92
t3_0_c01889,monterrey,35060,1,tier_2,0.6,21036.0
t3_0_c01920,santiago,882124,4,tier_5,0.42,370492.07999999996
t3_0_c01929,bakersfield,150588,3,tier_4,0.48,72282.23999999999
t3_0_c01929,buenos_aires,9965,0,tier_1,0.66,6576.900000000001
t3_0_c01929,curitiba,23198,1,tier_2,0.6,13918.8
t3_0_c01929,monterrey,7479,0,tier_1,0.66,4936.14
t3_0_c01929,santiago,16564,0,tier_1,0.66,10932.24
t3_0_c02016,santiago,27637,1,tier_2,0.6,16582.2
t3_0_c02060,buenos_aires,158567,3,tier_4,0.48,76112.16
t3_0_c02063,buenos_aires,1085759,4,tier_5,0.42,456018.77999999997
t3_0_c02063,curitiba,516431,4,tier_5,0.42,216901.02
t3_0_c02063,santiago,1298994,4,tier_5,0.42,545577.48
t3_0_c02086,curitiba,29246,1,tier_2,0.6,17547.6
t3_0_c02111,curitiba,126626,3,tier_4,0.48,60780.479999999996
t3_0_c02111,santiago,21167,1,tier_2,0.6,12700.199999999999
t3_0_c02243,curitiba,26328,1,tier_2,0.6,15796.8
t3_0_c02259,bakersfield,46462,1,tier_2,0.6,27877.2
t3_0_c02441,bakersfield,1157268,4,tier_5,0.42,486052.56
t3_0_c02517,curitiba,696238,4,tier_5,0.42,292419.95999999996
t3_0_c02517,santiago,181547,3,tier_4,0.48,87142.56
t3_0_c02532,monterrey,43300,1,tier_2,0.6,25980.0
t3_0_c02537,curitiba,61490,2,tier_3,0.54,33204.600000000006
t3_0_c02564,buenos_aires,137781,3,tier_4,0.48,66134.88
t3_0_c02587,bakersfield,71098,2,tier_3,0.54,38392.920000000006
t3_0_c02587,buenos_aires,138961,3,tier_4,0.48,66701.28
t3_0_c02587,curitiba,810018,4,tier_5,0.42,340207.56
t3_0_c02587,monterrey,33112,1,tier_2,0.6,19867.2
t3_0_c02587,santiago,5559,0,tier_1,0.66,3668.94
t3_0_c02593,buenos_aires,118084,3,tier_4,0.48,56680.32
t3_0_c02593,curitiba,500415,4,tier_5,0.42,210174.3
t3_0_c02593,monterrey,738150,4,tier_5,0.42,310023.0
t3_0_c02593,santiago,23609,1,tier_2,0.6,14165.4
t3_0_c02595,monterrey,535961,4,tier_5,0.42,225103.62
t3_0_c02615,buenos_aires,114965,3,tier_4,0.48,55183.2
t3_0_c02669,bakersfield,713087,4,tier_5,0.42,299496.54
t3_0_c02669,buenos_aires,959258,4,tier_5,0.42,402888.36
t3_0_c02669,curitiba,993132,4,tier_5,0.42,417115.44
t3_0_c02669,monterrey,284797,3,tier_4,0.48,136702.56
t3_0_c02669,santiago,105702,3,tier_4,0.48,50736.96
t3_0_c02705,curitiba,158383,3,tier_4,0.48,76023.84
t3_0_c02705,santiago,128815,3,tier_4,0.48,61831.2
t3_0_c02714,curitiba,1684280,4,tier_5,0.42,707397.6
t3_0_c02714,santiago,658885,4,tier_5,0.42,276731.7
t3_0_c02719,curitiba,1382664,4,tier_5,0.42,580718.88
t3_0_c02719,santiago,194266,3,tier_4,0.48,93247.68
t3_0_c02721,buenos_aires,2528614,4,tier_5,0.42,1062017.88
t3_0_c02756,curitiba,58364,2,tier_3,0.54,31516.56
