candidate_id,planta,volumen,indice_tier,tier,costo_unitario_usd,costo_packaging_usd
t3_0_c00697,monterrey,660917,4,tier_5,0.42,277585.14
t3_0_c00707,bakersfield,1018180,4,tier_5,0.42,427635.6
t3_0_c00707,buenos_aires,151645,3,tier_4,0.48,72789.59999999999
t3_0_c00707,curitiba,1998341,4,tier_5,0.42,839303.22
t3_0_c00707,monterrey,1471325,4,tier_5,0.42,617956.5
t3_0_c00707,santiago,514397,4,tier_5,0.42,216046.74
t3_0_c00858,bakersfield,933364,4,tier_5,0.42,392012.88
t3_0_c00858,curitiba,770631,4,tier_5,0.42,323665.01999999996
t3_0_c00858,monterrey,97776,2,tier_3,0.54,52799.04
t3_0_c00890,bakersfield,189965,3,tier_4,0.48,91183.2
t3_0_c00890,buenos_aires,26741,1,tier_2,0.6,16044.599999999999
t3_0_c00890,curitiba,531274,4,tier_5,0.42,223135.08
t3_0_c00890,monterrey,13262,0,tier_1,0.66,8752.92
t3_0_c00890,santiago,1317627,4,tier_5,0.42,553403.34
t3_0_c00897,monterrey,363755,3,tier_4,0.48,174602.4
t3_0_c00923,buenos_aires,615465,4,tier_5,0.42,258495.3
t3_0_c00970,buenos_aires,799422,4,tier_5,0.42,335757.24
t3_0_c00970,curitiba,102837,3,tier_4,0.48,49361.759999999995
t3_0_c00970,monterrey,246883,3,tier_4,0.48,118503.84
t3_0_c01075,buenos_aires,87473,2,tier_3,0.54,47235.420000000006
t3_0_c01120,monterrey,541484,4,tier_5,0.42,227423.28
t3_0_c01230,bakersfield,124643,3,tier_4,0.48,59828.64
t3_0_c01230,buenos_aires,22223,1,tier_2,0.6,13333.8
t3_0_c01230,curitiba,133592,3,tier_4,0.48,64124.159999999996
t3_0_c01230,monterrey,68117,2,tier_3,0.54,36783.18
t3_0_c01230,santiago,444710,3,tier_4,0.48,213460.8
t3_0_c01248,bakersfield,548570,4,tier_5,0.42,230399.4
t3_0_c01248,buenos_aires,1038747,4,tier_5,0.42,436273.74
t3_0_c01248,curitiba,511189,4,tier_5,0.42,214699.38
t3_0_c01248,monterrey,320112,3,tier_4,0.48,153653.75999999998
t3_0_c01248,santiago,534551,4,tier_5,0.42,224511.41999999998
t3_0_c01337,curitiba,36919,1,tier_2,0.6,22151.399999999998
t3_0_c01542,bakersfield,505346,4,tier_5,0.42,212245.31999999998
t3_0_c01542,buenos_aires,959258,4,tier_5,0.42,402888.36
t3_0_c01542,curitiba,1067605,4,tier_5,0.42,448394.1
t3_0_c01542,monterrey,341459,3,tier_4,0.48,163900.32
t3_0_c01542,santiago,103799,3,tier_4,0.48,49823.52
t3_0_c01628,bakersfield,965010,4,tier_5,0.42,405304.2
t3_0_c01628,buenos_aires,501445,4,tier_5,0.42,210606.9
t3_0_c01628,curitiba,1940596,4,tier_5,0.42,815050.32
t3_0_c01628,monterrey,1816387,4,tier_5,0.42,762882.5399999999
t3_0_c01628,santiago,509083,4,tier_5,0.42,213814.86
t3_0_c01679,buenos_aires,1085759,4,tier_5,0.42,456018.77999999997
t3_0_c01679,curitiba,850403,4,tier_5,0.42,357169.26
t3_0_c01679,santiago,517070,4,tier_5,0.42,217169.4
t3_0_c01766,curitiba,65147,2,tier_3,0.54,35179.380000000005
t3_0_c01791,bakersfield,108981,3,tier_4,0.48,52310.88
t3_0_c01850,bakersfield,294923,3,tier_4,0.48,141563.04
t3_0_c01850,curitiba,592080,4,tier_5,0.42,248673.59999999998
t3_0_c01868,santiago,27637,1,tier_2,0.6,16582.2
t3_0_c01916,curitiba,1412444,4,tier_5,0.42,593226.48
t3_0_c01916,santiago,194266,3,tier_4,0.48,93247.68
t3_0_c01972,bakersfield,501426,4,tier_5,0.42,210598.91999999998
t3_0_c02176,monterrey,35060,1,tier_2,0.6,21036.0
t3_0_c02202,curitiba,50402,2,tier_3,0.54,27217.08
t3_0_c02207,bakersfield,105837,3,tier_4,0.48,50801.759999999995
t3_0_c02207,buenos_aires,101462,3,tier_4,0.48,48701.759999999995
t3_0_c02207,curitiba,724719,4,tier_5,0.42,304381.98
t3_0_c02207,monterrey,65811,2,tier_3,0.54,35537.94
t3_0_c02207,santiago,568394,4,tier_5,0.42,238725.47999999998
t3_0_c02333,buenos_aires,47162,1,tier_2,0.6,28297.2
t3_0_c02379,curitiba,2066,0,tier_1,0.66,1363.5600000000002
t3_0_c02379,santiago,137568,3,tier_4,0.48,66032.64
t3_0_c02416,curitiba,123444,3,tier_4,0.48,59253.119999999995
t3_0_c02416,santiago,431487,3,tier_4,0.48,207113.75999999998
t3_0_c02480,santiago,750679,4,tier_5,0.42,315285.18
t3_0_c02497,curitiba,61490,2,tier_3,0.54,33204.600000000006
t3_0_c02559,bakersfield,8505,0,tier_1,0.66,5613.3
t3_0_c02559,buenos_aires,51366,2,tier_3,0.54,27737.640000000003
t3_0_c02559,curitiba,21846,1,tier_2,0.6,13107.6
t3_0_c02559,monterrey,7201,0,tier_1,0.66,4752.66
t3_0_c02559,santiago,21001,1,tier_2,0.6,12600.6
t3_0_c02594,bakersfield,93784,2,tier_3,0.54,50643.36
t3_0_c02605,curitiba,26328,1,tier_2,0.6,15796.8
t3_0_c02838,bakersfield,1157268,4,tier_5,0.42,486052.56
t3_0_c02926,curitiba,696238,4,tier_5,0.42,292419.95999999996
t3_0_c02926,santiago,181547,3,tier_4,0.48,87142.56
t3_0_c02942,monterrey,43300,1,tier_2,0.6,25980.0
t3_0_c03010,bakersfield,71098,2,tier_3,0.54,38392.920000000006
t3_0_c03010,buenos_aires,138961,3,tier_4,0.48,66701.28
t3_0_c03010,curitiba,810018,4,tier_5,0.42,340207.56
t3_0_c03010,monterrey,33112,1,tier_2,0.6,19867.2
t3_0_c03010,santiago,5559,0,tier_1,0.66,3668.94
t3_0_c03016,buenos_aires,118084,3,tier_4,0.48,56680.32
t3_0_c03016,curitiba,1651913,4,tier_5,0.42,693803.46
t3_0_c03016,monterrey,738150,4,tier_5,0.42,310023.0
t3_0_c03016,santiago,382461,3,tier_4,0.48,183581.28
t3_0_c03029,buenos_aires,111398,3,tier_4,0.48,53471.04
t3_0_c03034,buenos_aires,20935,1,tier_2,0.6,12561.0
t3_0_c03047,curitiba,588072,4,tier_5,0.42,246990.24
t3_0_c03047,santiago,518064,4,tier_5,0.42,217586.88
t3_0_c03092,bakersfield,790074,4,tier_5,0.42,331831.08
t3_0_c03092,santiago,105887,3,tier_4,0.48,50825.759999999995
t3_0_c03102,bakersfield,150588,3,tier_4,0.48,72282.23999999999
t3_0_c03102,buenos_aires,9965,0,tier_1,0.66,6576.900000000001
t3_0_c03102,curitiba,23198,1,tier_2,0.6,13918.8
t3_0_c03102,monterrey,7479,0,tier_1,0.66,4936.14
t3_0_c03102,santiago,16564,0,tier_1,0.66,10932.24
t3_0_c03124,curitiba,12373,0,tier_1,0.66,8166.18
t3_0_c03128,curitiba,158383,3,tier_4,0.48,76023.84
t3_0_c03128,santiago,128815,3,tier_4,0.48,61831.2
t3_0_c03136,santiago,679545,4,tier_5,0.42,285408.89999999997
t3_0_c03137,bakersfield,31,0,tier_1,0.66,20.46
t3_0_c03137,buenos_aires,35,0,tier_1,0.66,23.1
t3_0_c03137,curitiba,1684360,4,tier_5,0.42,707431.2
t3_0_c03137,monterrey,27,0,tier_1,0.66,17.82
t3_0_c03137,santiago,658938,4,tier_5,0.42,276753.95999999996
t3_0_c03140,buenos_aires,104923,3,tier_4,0.48,50363.04
t3_0_c03144,buenos_aires,1913149,4,tier_5,0.42,803522.58
t3_0_c03152,bakersfield,324,0,tier_1,0.66,213.84
t3_0_c03152,buenos_aires,101272,3,tier_4,0.48,48610.56
t3_0_c03152,curitiba,555402,4,tier_5,0.42,233268.84
t3_0_c03152,monterrey,319,0,tier_1,0.66,210.54000000000002
t3_0_c03152,santiago,527957,4,tier_5,0.42,221741.94
t3_0_c03157,bakersfield,46462,1,tier_2,0.6,27877.2
t3_0_c03179,curitiba,58364,2,tier_3,0.54,31516.56
t3_0_c03186,santiago,894453,4,tier_5,0.42,375670.26
