codigo_producto,candidate_id,costo_flete_usd,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg
BR0039,t3_0_c03047,63150.0,heuristica_9_29,solucion_greedy,3.0,392.595473,269.820617,250.702224,398.5954728136164,275.820616556795,256.70222430158685,2,4,7,56,137.49563493790242
BR0040,t3_0_c00707,34200.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0041,t3_0_c00707,116400.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0042,t3_0_c03016,66300.0,heuristica_9_29,solucion_greedy,3.0,392.164248,269.373592,193.526251,398.1642482770366,275.37359180220136,199.52625053849133,2,4,9,72,137.31658309464586
BR0043,t3_0_c00050,16200.0,optima_individual,BR0043,3.0,390.088344,233.458386,151.41684,396.088343971927,239.45838600874765,157.41683956571677,2,5,11,110,129.57119877281846
BR0044,t3_0_c00050,3150.0,optima_individual,BR0043,3.0,390.088344,233.458386,151.41684,396.088343971927,239.45838600874765,157.41683956571677,2,5,11,110,129.57119877281846
BR0045,t3_0_c03034,13800.0,heuristica_9_29,solucion_greedy,3.0,384.794423,188.758921,142.826893,390.7944228820316,194.7589214677357,148.8268926031031,2,6,12,144,119.37886734959577
BR0046,t3_0_c00050,11850.0,optima_individual,BR0043,3.0,390.088344,233.458386,151.41684,396.088343971927,239.45838600874765,157.41683956571677,2,5,11,110,129.57119877281846
BR0047,t3_0_c00050,3000.0,optima_individual,BR0043,3.0,390.088344,233.458386,151.41684,396.088343971927,239.45838600874765,157.41683956571677,2,5,11,110,129.57119877281846
BR0048,t3_0_c01628,900.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0049,t3_0_c01075,10950.0,par_factible,BR0301|BR0339,3.0,393.666027,232.241197,257.652842,399.6660272535138,238.24119719316985,263.6528415790036,2,5,6,60,130.05244127353384
BR0050,t3_0_c01628,21750.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0051,t3_0_c01628,900.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0052,t3_0_c03140,147600.0,heuristica_9_29,solucion_greedy,3.0,390.56235,233.137386,249.184871,396.5623498432829,239.1373856065925,255.1848712797681,2,5,7,70,129.60239254839456
BR0053,t3_0_c01230,5100.0,par_factible,BR0050|BR0090,3.0,393.091064,233.867255,227.079559,399.0910636045863,239.8672546413923,233.07955927274404,2,5,7,70,130.26673154861948
BR0054,t3_0_c01075,106800.0,par_factible,BR0301|BR0339,3.0,393.666027,232.241197,257.652842,399.6660272535138,238.24119719316985,263.6528415790036,2,5,6,60,130.05244127353384
BR0055,t3_0_c01628,174300.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0056,t3_0_c03140,33000.0,heuristica_9_29,solucion_greedy,3.0,390.56235,233.137386,249.184871,396.5623498432829,239.1373856065925,255.1848712797681,2,5,7,70,129.60239254839456
BR0057,t3_0_c01628,55200.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0058,t3_0_c03034,8100.0,heuristica_9_29,solucion_greedy,3.0,384.794423,188.758921,142.826893,390.7944228820316,194.7589214677357,148.8268926031031,2,6,12,144,119.37886734959577
BR0059,t3_0_c01075,10800.0,par_factible,BR0301|BR0339,3.0,393.666027,232.241197,257.652842,399.6660272535138,238.24119719316985,263.6528415790036,2,5,6,60,130.05244127353384
BR0060,t3_0_c01628,67950.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0061,t3_0_c02559,9750.0,par_factible,BR0132|BR0357,3.0,392.81821,233.668485,242.493031,398.8182097959093,239.66848475612596,248.49303079611892,2,5,7,70,130.17057992905916
BR0062,t3_0_c02559,13050.0,par_factible,BR0132|BR0357,3.0,392.81821,233.668485,242.493031,398.8182097959093,239.66848475612596,248.49303079611892,2,5,7,70,130.17057992905916
BR0063,t3_0_c02559,24900.0,par_factible,BR0132|BR0357,3.0,392.81821,233.668485,242.493031,398.8182097959093,239.66848475612596,248.49303079611892,2,5,7,70,130.17057992905916
BR0064,t3_0_c01075,37200.0,par_factible,BR0301|BR0339,3.0,393.666027,232.241197,257.652842,399.6660272535138,238.24119719316985,263.6528415790036,2,5,6,60,130.05244127353384
BR0065,t3_0_c03092,180600.0,heuristica_9_29,solucion_greedy,3.0,392.884541,293.133526,173.678801,398.8845414703037,299.1335255726877,179.6788007569087,2,4,10,80,142.30745505463636
BR0066,t3_0_c03010,100800.0,heuristica_9_29,solucion_greedy,3.0,392.705413,292.98322,157.357538,398.7054133979895,298.98321959537503,163.35753751243013,2,4,11,88,142.24029214951366
BR0067,t3_0_c03047,46200.0,heuristica_9_29,solucion_greedy,3.0,392.595473,269.820617,250.702224,398.5954728136164,275.820616556795,256.70222430158685,2,4,7,56,137.49563493790242
BR0068,t3_0_c03152,94200.0,heuristica_9_29,solucion_greedy,3.0,393.987044,293.989933,218.995742,399.987043531577,299.98993336892363,224.9957419419903,2,4,8,64,142.7068250561673
BR0069,t3_0_c01628,118350.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0070,t3_0_c03016,71850.0,heuristica_9_29,solucion_greedy,3.0,392.164248,269.373592,193.526251,398.1642482770366,275.37359180220136,199.52625053849133,2,4,9,72,137.31658309464586
BR0071,t3_0_c01628,91200.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0072,t3_0_c01628,98100.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0073,t3_0_c03092,54150.0,heuristica_9_29,solucion_greedy,3.0,392.884541,293.133526,173.678801,398.8845414703037,299.1335255726877,179.6788007569087,2,4,10,80,142.30745505463636
BR0074,t3_0_c01248,71250.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0075,t3_0_c00890,67200.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0076,t3_0_c00289,65250.0,optima_individual,BR0324,3.0,392.775876,262.820945,173.903163,398.7758758779989,268.820945476175,179.90316250500862,2,4,10,80,136.10536622918937
BR0077,t3_0_c00215,2362950.0,optima_individual,BR0238,3.0,393.693331,293.762921,251.100142,399.6933311476535,299.7629213646659,257.1001424671451,2,4,7,56,142.60066310139027
BR0078,t3_0_c00890,3606150.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0079,t3_0_c03047,93150.0,heuristica_9_29,solucion_greedy,3.0,392.595473,269.820617,250.702224,398.5954728136164,275.820616556795,256.70222430158685,2,4,7,56,137.49563493790242
BR0080,t3_0_c02379,78450.0,par_factible,BR0081|BR0363,3.0,390.071033,269.923725,286.240594,396.0710332904915,275.9237252367458,292.2405943960971,2,4,6,48,137.00198950606264
BR0081,t3_0_c00635,12900.0,par_factible,BR0081|BR0267,3.0,393.771314,271.039531,292.51714,399.77131402006165,277.03953079226386,298.5171397476802,2,4,6,48,137.98386234705922
BR0082,t3_0_c01679,123000.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0083,t3_0_c00890,220800.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0084,t3_0_c03047,65550.0,heuristica_9_29,solucion_greedy,3.0,392.595473,269.820617,250.702224,398.5954728136164,275.820616556795,256.70222430158685,2,4,7,56,137.49563493790242
BR0085,t3_0_c02379,54000.0,par_factible,BR0081|BR0363,3.0,390.071033,269.923725,286.240594,396.0710332904915,275.9237252367458,292.2405943960971,2,4,6,48,137.00198950606264
BR0086,t3_0_c00696,70050.0,par_factible,BR0051|BR0331,3.0,392.956524,233.847606,237.597328,398.9565242107511,239.8476058863391,243.59732821825213,2,5,7,70,130.23529665587975
BR0087,t3_0_c01230,34350.0,par_factible,BR0050|BR0090,3.0,393.091064,233.867255,227.079559,399.0910636045863,239.8672546413923,233.07955927274404,2,5,7,70,130.26673154861948
BR0088,t3_0_c00707,28650.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0089,t3_0_c00084,71250.0,optima_individual,BR0089,3.0,389.167841,232.941434,250.417495,395.1678408604193,238.94143362717824,256.4174950159345,2,5,7,70,129.27813954894955
BR0090,t3_0_c01230,114000.0,par_factible,BR0050|BR0090,3.0,393.091064,233.867255,227.079559,399.0910636045863,239.8672546413923,233.07955927274404,2,5,7,70,130.26673154861948
BR0091,t3_0_c02176,65850.0,par_factible,BR0300|BR0337,3.0,393.611303,232.231093,217.174492,399.6113029528054,238.23109277543955,223.17449183268656,2,5,8,80,130.0392244094281
BR0092,t3_0_c00707,2666250.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0092XL,t3_0_c00858,2614800.0,par_factible,BR0016|BR0299,3.0,393.708194,293.770813,232.894947,399.70819378400495,299.77081312233565,238.89494672352689,2,4,7,56,142.6053021215781
BR0093,t3_0_c00707,3604500.0,par_factible,BR0040|BR0356,3.0,393.181387,270.427989,249.766401,399.1813871680308,276.42798896404105,255.7664008327294,2,4,7,56,137.73891460388825
BR0094,t3_0_c01628,6077400.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0095,t3_0_c00697,1549050.0,par_factible,BR0051|BR0106,3.0,392.806535,266.991283,218.65982,398.8065354222373,272.9912832488181,224.65982000337712,2,4,8,64,136.96183866892056
BR0096,t3_0_c03016,886650.0,heuristica_9_29,solucion_greedy,3.0,392.164248,269.373592,193.526251,398.1642482770366,275.37359180220136,199.52625053849133,2,4,9,72,137.31658309464586
BR0097,t3_0_c00970,258300.0,par_factible,BR0097|BR0302,3.0,393.79411,233.95096,209.483883,399.7941102208086,239.9509600145156,215.4838825883871,2,5,8,80,130.42712950771136
BR0098,t3_0_c01628,803400.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0099,t3_0_c00970,120750.0,par_factible,BR0097|BR0302,3.0,393.79411,233.95096,209.483883,399.7941102208086,239.9509600145156,215.4838825883871,2,5,8,80,130.42712950771136
BR0100,t3_0_c01542,147450.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0101,t3_0_c01542,42450.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0102,t3_0_c02497,55950.0,par_factible,BR0100|BR0150,3.0,390.190404,289.461577,187.666631,396.1904041069792,295.4615773905373,193.66663093066367,2,4,9,72,141.00957828695545
BR0103,t3_0_c00182,129150.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0104,t3_0_c00182,306300.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0105,t3_0_c01542,1882950.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0106,t3_0_c01628,29550.0,par_factible,BR0048|BR0381,3.0,393.486724,267.593672,218.904477,399.48672387632246,273.59367189100425,224.904477067846,2,4,8,64,137.22332227672308
BR0107,t3_0_c03047,218550.0,heuristica_9_29,solucion_greedy,3.0,392.595473,269.820617,250.702224,398.5954728136164,275.820616556795,256.70222430158685,2,4,7,56,137.49563493790242
BR0108,t3_0_c02416,42600.0,par_factible,BR0345|BR0400,3.0,393.891445,293.91955,311.631729,399.8914445734889,299.9195503469279,317.6317288142165,2,4,5,40,142.6729857126232
BR0109,t3_0_c02416,67200.0,par_factible,BR0345|BR0400,3.0,393.891445,293.91955,311.631729,399.8914445734889,299.9195503469279,317.6317288142165,2,4,5,40,142.6729857126232
BR0110,t3_0_c01120,295950.0,par_factible,BR0020|BR0022,3.0,393.157276,270.402994,216.811719,399.157276011927,276.4029943728752,222.8117190474277,2,4,8,64,137.72890323849177
BR0111,t3_0_c03016,446400.0,heuristica_9_29,solucion_greedy,3.0,392.164248,269.373592,193.526251,398.1642482770366,275.37359180220136,199.52625053849133,2,4,9,72,137.31658309464586
BR0112,t3_0_c01120,54300.0,par_factible,BR0020|BR0022,3.0,393.157276,270.402994,216.811719,399.157276011927,276.4029943728752,222.8117190474277,2,4,8,64,137.72890323849177
BR0113,t3_0_c00635,24450.0,par_factible,BR0081|BR0267,3.0,393.771314,271.039531,292.51714,399.77131402006165,277.03953079226386,298.5171397476802,2,4,6,48,137.98386234705922
BR0114,t3_0_c00890,28350.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0115,t3_0_c00012,161400.0,optima_individual,BR0007,3.0,393.879447,293.913577,293.899487,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0116,t3_0_c03010,11550.0,heuristica_9_29,solucion_greedy,3.0,392.705413,292.98322,157.357538,398.7054133979895,298.98321959537503,163.35753751243013,2,4,11,88,142.24029214951366
BR0117,t3_0_c01248,77250.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0118,t3_0_c00858,44700.0,par_factible,BR0016|BR0299,3.0,393.708194,293.770813,232.894947,399.70819378400495,299.77081312233565,238.89494672352689,2,4,7,56,142.6053021215781
BR0119,t3_0_c00182,74250.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0120,t3_0_c03029,1050.0,heuristica_9_29,solucion_greedy,3.0,392.304159,292.784278,217.837135,398.3041591655105,298.7842776303708,223.83713470907097,2,4,8,64,142.11792799100536
BR0121,t3_0_c03124,46500.0,heuristica_9_29,solucion_greedy,3.0,388.839658,289.991518,349.818739,394.8396582396076,295.9915182646639,355.81873926090543,2,4,5,40,140.84223781942333
BR0122,t3_0_c02605,65850.0,par_factible,BR0124|BR0255,3.0,391.12018,283.707136,370.895007,397.1201797005956,289.70713571379235,376.8950072691483,2,4,4,32,140.0259562516591
BR0123,t3_0_c00012,28800.0,optima_individual,BR0007,3.0,393.879447,293.913577,293.899487,399.87944673658205,299.9135773725474,299.8994867430204,2,4,6,48,142.66932193866043
BR0124,t3_0_c02605,57750.0,par_factible,BR0124|BR0255,3.0,391.12018,283.707136,370.895007,397.1201797005956,289.70713571379235,376.8950072691483,2,4,4,32,140.0259562516591
BR0125,t3_0_c00182,34500.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0126,t3_0_c01248,157950.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0127,t3_0_c00182,140850.0,optima_individual,BR0188,3.0,393.456653,293.559678,193.72621,399.4566533516339,299.5596775026307,199.72620969191308,2,4,9,72,142.5109746899622
BR0128,t3_0_c01120,13050.0,par_factible,BR0020|BR0022,3.0,393.157276,270.402994,216.811719,399.157276011927,276.4029943728752,222.8117190474277,2,4,8,64,137.72890323849177
BR0129,t3_0_c01120,6150.0,par_factible,BR0020|BR0022,3.0,393.157276,270.402994,216.811719,399.157276011927,276.4029943728752,222.8117190474277,2,4,8,64,137.72890323849177
BR0130,t3_0_c00890,362700.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0131,t3_0_c00890,156150.0,par_factible,BR0075|BR0196,3.0,392.998477,292.581363,264.377584,398.9984769916616,298.5813627949955,270.3775836237519,2,4,6,48,142.21811208698412
BR0132,t3_0_c02559,94800.0,par_factible,BR0132|BR0357,3.0,392.81821,233.668485,242.493031,398.8182097959093,239.66848475612596,248.49303079611892,2,5,7,70,130.17057992905916
BR0133,t3_0_c02559,37650.0,par_factible,BR0132|BR0357,3.0,392.81821,233.668485,242.493031,398.8182097959093,239.66848475612596,248.49303079611892,2,5,7,70,130.17057992905916
BR0134,t3_0_c01679,2861400.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0135,t3_0_c01679,145950.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0136,t3_0_c01679,550050.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0136XL,t3_0_c01679,589650.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0137,t3_0_c00635,1164900.0,par_factible,BR0081|BR0267,3.0,393.771314,271.039531,292.51714,399.77131402006165,277.03953079226386,298.5171397476802,2,4,6,48,137.98386234705922
BR0138,t3_0_c00050,2400.0,optima_individual,BR0043,3.0,390.088344,233.458386,151.41684,396.088343971927,239.45838600874765,157.41683956571677,2,5,11,110,129.57119877281846
BR0139,t3_0_c01679,224250.0,par_factible,BR0082|BR0196,3.0,392.90581,293.215594,284.165483,398.90581029760335,299.2155938481774,290.1654827158047,2,4,6,48,142.32852276162706
BR0140,t3_0_c01248,44250.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0141,t3_0_c01248,154800.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0142,t3_0_c01916,111750.0,par_factible,BR0142|BR0403,3.0,393.732844,263.792926,337.999198,399.7328442354517,269.79292555839663,343.9991976250494,2,4,5,40,136.49862788865406
BR0143,t3_0_c01248,751200.0,par_factible,BR0238|BR0274,3.0,393.698918,293.763528,251.096061,399.6989178206085,299.7635277090286,257.09606102431906,2,4,7,56,142.6019256941156
BR0144,t3_0_c01120,340350.0,par_factible,BR0020|BR0022,3.0,393.157276,270.402994,216.811719,399.157276011927,276.4029943728752,222.8117190474277,2,4,8,64,137.72890323849177
BR0145,t3_0_c01542,154950.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
BR0146,t3_0_c01542,137700.0,par_factible,BR0146|BR0316,3.0,393.555689,293.708718,173.21741,399.5556888228666,299.7087175790124,179.21740979018506,2,4,10,80,142.5615507445217
