"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","id_sencillo","caja_grosor_mm","caja_interior_largo","caja_interior_ancho","caja_interior_alto","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","pallet_alto","pallet_ancho","pallet_largo","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","volumen_interior_caja_mm3","volumen_exterior_caja_mm3","volumen_pallet_mm3","perimetro_caja_m","headspace_max_pct","ect_n_m","carga_max_kg","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_monterrey","volumen_producto_planta_bakersfield","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_pallets_planta_buenos_aires","costo_pallets_planta_curitiba","costo_pallets_planta_santiago","costo_pallets_planta_monterrey","costo_pallets_planta_bakersfield","costo_pallets_total","costo_total","capas_apiladas","peso_capas_superiores_kg","cumple_resistencia","utilizacion_cajas"
"BR0011","Brocoli en rejilla - sazonado - Caja de 13 packs de 0,75 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"9d44d480026dfab07731a73d1d0c6539",115,4.1,388,288,283,396.2,296.2,291.2,1800,800,1200,6,2,4,48,0.949267025777778,31623552,34173612.928,1728000000,1.3848,0.08,1200,169.394495412844,13433,0,0,0,13433,0,0,13433,0,0,0,0,280,0,0,280,0,0,9604.595,0,0,0,0,42000,0,0,42000,9604.595,6,48.75,TRUE,0.000424778342420232
"BR0012","Bastones rectos de brocoli - clasico - Caja de 9 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",11.25,"9 X 1,25 KG",9,1.25,"ad99ed562d5d808977b10fa512bfde8b",138,4.1,386,286,214,394.2,294.2,222.2,1800,800,1200,8,2,4,64,0.954420104,23624744,25769342.808,1728000000,1.3768,0.08,1200,168.415902140673,1,281874,0,0,281875,0,0,0,0,281875,0,0,0,0,4405,4405,0,0,0,0,146575,0,0,0,0,660750,660750,146575,8,78.75,TRUE,0.011931346219032
"BR0013","13 bolsas de 0,5 kg | Brocoli en rejilla | Ref 9WZ","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13 X 0,5 KG",13,0.5,"c96df5913565ba35f3e02e744c9a6dde",160,2.7,395,296,224,400,301.4,229.4,1800,800,1200,7,2,3,42,0.672205722222222,26190080,27656464,1728000000,1.4028,0.06,730,104.387767584098,1,153251,0,0,153252,0,153252,0,0,0,0,3649,0,0,0,3649,0,73560.96,0,0,0,0,547350,0,0,0,547350,73560.96,7,39,TRUE,0.00585152851766776
"BR0014","Brocoli zigzag - clasico - Caja de 13 packs de 0,75 kg | Ref LE4","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",87,4.1,386,286,244,394.2,294.2,252.2,1800,800,1200,7,2,4,56,0.947869741,26936624,29248552.008,1728000000,1.3768,0.08,1200,168.415902140673,1,56318,0,0,56319,0,0,0,0,56319,0,0,0,0,1006,1006,0,0,0,0,29285.88,0,0,0,0,150900,150900,29285.88,7,58.5,TRUE,0.00209079653040411
"BR0015","Brocoli zigzag - con sal - Caja de 13 packs de 0,75 kg","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",87,4.1,386,286,244,394.2,294.2,252.2,1800,800,1200,7,2,4,56,0.947869741,26936624,29248552.008,1728000000,1.3768,0.08,1200,168.415902140673,0,30861,0,50,30911,0,0,0,0,30911,0,0,0,0,552,552,0,0,0,0,16073.72,0,0,0,0,82800,82800,16073.72,7,58.5,TRUE,0.00114754543850781
"BR0016","13 bolsas de 0,75 kg | Brocoli zigzag picante | Ref 1Y1","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",87,4.1,386,286,244,394.2,294.2,252.2,1800,800,1200,7,2,4,56,0.947869741,26936624,29248552.008,1728000000,1.3768,0.08,1200,168.415902140673,0,30466,0,0,30466,0,0,0,0,30466,0,0,0,0,545,545,0,0,0,0,15842.32,0,0,0,0,81750,81750,15842.32,7,58.5,TRUE,0.00113102517969587
"BR0017","Tiras para dip de brocoli - con sal - Caja de 13 packs de 0,75 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"c96df5913565ba35f3e02e744c9a6dde",160,2.7,395,296,224,400,301.4,229.4,1800,800,1200,7,2,3,42,0.672205722222222,26190080,27656464,1728000000,1.4028,0.06,730,104.387767584098,1,131798,0,0,131799,0,131799,0,0,0,0,3139,0,0,0,3139,0,63263.52,0,0,0,0,470850,0,0,0,470850,63263.52,7,58.5,TRUE,0.00503240158105664
"BR0018","Bastones rectos de brocoli - clasico - Caja de 13 packs de 1 kg | Ref 8QS","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",13,"13 X 1 KG",13,1,"2060590a59a5c59ff1bb32dbffe1028b",23,4.1,386,286,288,394.2,294.2,296.2,1800,800,1200,6,2,4,48,0.954205338,31794048,34351392.168,1728000000,1.3768,0.08,1200,168.415902140673,1,181570,0,0,181571,0,0,0,0,181571,0,0,0,0,3783,3783,0,0,0,0,94416.92,0,0,0,0,567450,567450,94416.92,6,65,TRUE,0.0057108487727011
"BR0019","Espirales de brocoli - clasico - Caja de 13 packs de 0,5 kg | Ref G0M","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13x0,5 kg",13,0.5,"af25ed4a56d3b3317fc10fd23b427cc4",140,2.7,393,255,260,398.4,260.4,265.4,1800,800,1200,6,2,4,48,0.764819104,26055900,27533487.744,1728000000,1.3176,0.06,730,98.0477064220183,0,1447,0,0,1447,0,1447,0,0,0,0,31,0,0,0,31,0,955.02,0,0,0,0,4650,0,0,0,4650,955.02,6,32.5,TRUE,5.55344470925971e-05
"BR0020","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref MI1","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"a130566667d4be7bb38053adaefea0af",119,2.7,393,255,204,398.4,260.4,209.4,1800,800,1200,8,2,4,64,0.804587392,20443860,21723859.584,1728000000,1.3176,0.06,730,98.0477064220183,91699,0,0,0,91699,70380,0,0,21319,0,1100,0,0,334,0,1434,38005.2,0,0,8953.98,0,165000,0,0,50100,0,215100,46959.18,8,87.5,TRUE,0.00448540539800214
"BR0021","5 bolsas de 2,5 kg | Bastones rectos de brocoli | Ref J9N","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"1a3ffa8018de4637afcdd1e390e2602a",14,4.1,383,248,199,391.2,256.2,207.2,1800,800,1200,8,2,4,64,0.769137450666667,18901816,20766711.168,1728000000,1.2948,0.08,1200,158.385321100917,40184,0,0,0,40184,40184,0,0,0,0,628,0,0,0,0,628,20895.68,0,0,0,0,94200,0,0,0,0,94200,20895.68,8,87.5,TRUE,0.00212593329656791
"BR0022","BonsaiGreen Bastones rectos de brocoli 7x7 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"9dbb448086386afae3321dda0441c688",116,2.7,393,255,230,398.4,260.4,235.4,1800,800,1200,7,2,4,56,0.791427354666667,23049450,24421186.944,1728000000,1.3176,0.06,730,98.0477064220183,14747,0,0,0,14747,14747,0,0,0,0,264,0,0,0,0,264,8848.2,0,0,0,0,39600,0,0,0,0,39600,8848.2,7,75,TRUE,0.000639798346598292
"BR0023","5 bolsas de 2,5 kg | Cubos de brocoli","Cubos de brocoli","Forma estable","Guarniciones - Cubos","Guarniciones","Forma",12.5,"5 X 2,5 KG",5,2.5,"8f61ca662a88d3f0432d0d6a0cfbf2ee",107,4.1,383,248,179,391.2,256.2,187.2,1800,800,1200,9,2,4,72,0.781758432,17002136,18762202.368,1728000000,1.2948,0.08,1200,158.385321100917,13807,0,0,0,13807,0,13807,0,0,0,0,192,0,0,0,192,0,8077.095,0,0,0,0,28800,0,0,0,28800,8077.095,9,100,TRUE,0.000812074435823828
"BR0024","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref T5P","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,3004,0,0,0,3004,0,0,3004,0,0,0,0,54,0,0,54,0,0,1261.68,0,0,0,0,8100,0,0,8100,1261.68,7,75,TRUE,0.000127555542816986
"BR0025","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref KX3","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",66,4.1,386,286,179,394.2,294.2,187.2,1800,800,1200,9,2,4,72,0.904594392,19760884,21710265.408,1728000000,1.3768,0.08,1200,168.415902140673,59324,78002,1926,639,139891,44072,0,0,95819,0,613,0,0,1331,0,1944,20052.76,0,0,49825.88,0,91950,0,0,199650,0,291600,69878.64,9,100,TRUE,0.00707918734809637
"BR0026","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref 85V","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2.5 KG",2.5,2.5,"79637c70988d89fe3abe191b59c1ed0c",99,4.1,388,288,219,396.2,296.2,227.2,1800,800,1200,7,2,4,56,0.864076395259259,24471936,26662928.768,1728000000,1.3848,0.08,1200,169.394495412844,109226,0,0,0,109226,68302,0,0,40924,0,1220,0,0,731,0,1951,35517.04,0,0,26600.6,0,183000,0,0,109650,0,292650,62117.64,7,75,TRUE,0.00446331667425086
"BR0027","BonsaiGreen Bastones rectos de brocoli 11x11 mm 5 x 2,5 kg | Ref WKQ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"ad02b3d41b4467a5a65a742951a80e72",135,4.1,386,286,171,394.2,294.2,179.2,1800,800,1200,10,2,4,80,0.96215168,18877716,20782476.288,1728000000,1.3768,0.08,1200,168.415902140673,82289,0,0,0,82289,82289,0,0,0,0,1029,0,0,0,0,1029,42790.28,0,0,0,0,154350,0,0,0,0,154350,42790.28,10,112.5,TRUE,0.00435905487718959
"BR0028","5 bolsas de 2,5 kg | Bastones rectos de brocoli 11x11 mm | Ref VER","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2.5 KG",2.5,2.5,"4910b652fb2cf1c609d243a1e78d1919",53,4.1,386,286,217,394.2,294.2,225.2,1800,800,1200,7,2,4,56,0.846392806,23955932,26117263.728,1728000000,1.3768,0.08,1200,168.415902140673,3136,0,0,0,3136,3136,0,0,0,0,56,0,0,0,0,56,2242.24,0,0,0,0,8400,0,0,0,0,8400,2242.24,7,75,TRUE,0.00013090703379856
"BR0029","Bastones rectos de brocoli 13x13 mm - clasico - Caja de 5 packs de 2,5 kg | Ref H50","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Grueso",12.5,"5 X 2,5 KG",5,2.5,"ad02b3d41b4467a5a65a742951a80e72",135,4.1,386,286,171,394.2,294.2,179.2,1800,800,1200,10,2,4,80,0.96215168,18877716,20782476.288,1728000000,1.3768,0.08,1200,168.415902140673,86631,0,0,0,86631,86631,0,0,0,0,1083,0,0,0,0,1083,45048.12,0,0,0,0,162450,0,0,0,0,162450,45048.12,10,112.5,TRUE,0.00458906151570455
"BR0030","Gajos de brocoli - sazonado, con cabo - Caja de 5 packs de 2,5 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Mayordomo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"6317bf81cd9d3fe0f209963e7fd234f7",80,4.8,380,282,172,389.6,291.6,181.6,1800,800,1200,9,2,4,72,0.859629024,18431520,20631096.576,1728000000,1.3624,0.1,1550,215.261977573904,0,22233,0,6900,29133,0,29133,0,0,0,0,405,0,0,0,405,0,20393.1,0,0,0,0,60750,0,0,0,60750,20393.1,9,100,TRUE,0.00158060756790541
"BR0031","5 bolsas de 2,5 kg | Bastones rectos de brocoli 11x11 mm | Ref 54T","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"cb9988b0557e22e3abc2bbe0a56967d0",163,4.1,386,286,169,394.2,294.2,177.2,1800,800,1200,10,2,4,80,0.95141338,18656924,20550529.008,1728000000,1.3768,0.08,1200,168.415902140673,13965,0,0,0,13965,13965,0,0,0,0,175,0,0,0,0,175,9984.975,0,0,0,0,26250,0,0,0,0,26250,9984.975,10,112.5,TRUE,0.00074851567171523
"BR0032","BonsaiGreen Bastones rectos de brocoli 13x13 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Grueso",12.5,"5 x 2,5 kg",5,2.5,"bfcb33e665554321d0a93ce891eadb54",155,4.1,386,286,159,394.2,294.2,167.2,1800,800,1200,10,2,4,80,0.89772188,17552964,19390792.608,1728000000,1.3768,0.08,1200,168.415902140673,14194,0,0,0,14194,14194,0,0,0,0,178,0,0,0,0,178,10148.71,0,0,0,0,26700,0,0,0,0,26700,10148.71,10,112.5,TRUE,0.000808638358741008
"BR0033","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref LUJ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",11,"11 X1,0 KG",11,1,"a12aea41ad9864b83129274495d5d5b2",118,4.1,388,288,184,396.2,296.2,192.2,1800,800,1200,9,2,4,72,0.939813473666667,20560896,22555523.368,1728000000,1.3848,0.08,1200,169.394495412844,41585,23378,0,0,64963,64963,0,0,0,0,903,0,0,0,0,903,38003.355,0,0,0,0,135450,0,0,0,0,135450,38003.355,9,88,TRUE,0.00315954129625479
"BR0034","13 bolsas de 0,75 kg | Gajos de brocoli | Ref 5WO","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"d3d0a6587d8f983d383e032e2b9acacc",173,4.8,379,246,182,388.6,255.6,191.6,1800,800,1200,9,2,4,72,0.792953844,16968588,19030892.256,1728000000,1.2884,0.1,1550,203.569826707441,0,730326,0,0,730326,0,617364,112962,0,0,0,8575,1569,0,0,10144,0,302508.36,63258.72,0,0,0,1286250,235350,0,0,1521600,365767.08,9,78,TRUE,0.0430398805133344
"BR0035","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x18 mm | Ref 9WE","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"162c41fa859810e889efa37f867819bb",12,2.7,395,296,214,400,301.4,219.4,1800,800,1200,8,2,3,48,0.734746222222222,25020880,26450864,1728000000,1.4028,0.06,730,104.387767584098,15862,0,0,0,15862,15862,0,0,0,0,331,0,0,0,0,331,9517.2,0,0,0,0,49650,0,0,0,0,49650,9517.2,8,87.5,TRUE,0.000633950524521919
"BR0036","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref X7N","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5X 2,5 KG",5,2.5,"ceda63d824383fb94ca5e9bd08701d70",168,4.8,384,286,163,393.6,295.6,172.6,1800,800,1200,10,2,4,80,0.929707982222222,17901312,20081692.416,1728000000,1.3784,0.1,1550,217.79001019368,27685,0,0,0,27685,11088,0,0,16597,0,139,0,0,208,0,347,8537.76,0,0,12779.69,0,20850,0,0,31200,0,52050,21317.45,10,112.5,TRUE,0.00154653468974788
"BR0037","Bastones rectos de brocoli 9x9 mm - sazonado - Caja de 5 packs de 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 x 2,5 kg",5,2.5,"37070e9f43f02e356af14131f16a3112",40,2.7,393,255,245,398.4,260.4,250.4,1800,800,1200,7,2,4,56,0.841858154666667,24552675,25977337.344,1728000000,1.3176,0.06,730,98.0477064220183,3201,0,62939,0,66140,0,0,66140,0,0,0,0,1182,0,0,1182,0,0,35715.6,0,0,0,0,177300,0,0,177300,35715.6,7,75,TRUE,0.00269380016637698
"BR0038","BonsaiGreen Tiras para dip de brocoli 6x21 mm 5 x 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,31584,0,0,0,31584,0,31584,0,0,0,0,564,0,0,0,564,0,13265.28,0,0,0,0,84600,0,0,0,84600,13265.28,7,75,TRUE,0.00134111659931148
"BR0039","Tiras para dip de brocoli - clasico - Caja de 5 packs de 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"37070e9f43f02e356af14131f16a3112",40,2.7,393,255,245,398.4,260.4,250.4,1800,800,1200,7,2,4,56,0.841858154666667,24552675,25977337.344,1728000000,1.3176,0.06,730,98.0477064220183,23517,0,6,0,23523,0,23523,0,0,0,0,421,0,0,0,421,0,9879.66,0,0,0,0,63150,0,0,0,63150,9879.66,7,75,TRUE,0.000958062614358721
"BR0040","BonsaiGreen Tiras para dip de brocoli sin gluten 5 x 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,0,0,12725,0,12725,0,12725,0,0,0,0,228,0,0,0,228,0,5344.5,0,0,0,0,34200,0,0,0,34200,5344.5,7,75,TRUE,0.000540327657239064
"BR0041","5 bolsas de 2,5 kg | Tiras para dip de brocoli sin gluten","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,0,0,43428,0,43428,0,43428,0,0,0,0,776,0,0,0,776,0,18239.76,0,0,0,0,116400,0,0,0,116400,18239.76,7,75,TRUE,0.00184403532405329
