"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","volumen_producto_canal_servicios_comida","volumen_producto_canal_minorista","volumen_producto_canal_cadenas_corporativas","volumen_producto_canal_otros","volumen_producto_total","volumen_producto_planta_buenos_aires","volumen_producto_planta_curitiba","volumen_producto_planta_santiago","volumen_producto_planta_monterrey","volumen_producto_planta_bakersfield","cantidad_pallets_planta_buenos_aires","cantidad_pallets_planta_curitiba","cantidad_pallets_planta_santiago","cantidad_pallets_planta_monterrey","cantidad_pallets_planta_bakersfield","cantidad_pallets_total","costo_total_planta_buenos_aires","costo_total_planta_curitiba","costo_total_planta_santiago","costo_total_planta_monterrey","costo_total_planta_bakersfield","costo_pallets_planta_buenos_aires","costo_pallets_planta_curitiba","costo_pallets_planta_santiago","costo_pallets_planta_monterrey","costo_pallets_planta_bakersfield","costo_pallets_total","costo_total"
"BR0011","Brocoli en rejilla - sazonado - Caja de 13 packs de 0,75 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"9d44d480026dfab07731a73d1d0c6539",13433,0,0,0,13433,0,0,13433,0,0,0,0,280,0,0,280,0,0,9604.595,0,0,0,0,42000,0,0,42000,9604.595
"BR0012","Bastones rectos de brocoli - clasico - Caja de 9 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",11.25,"9 X 1,25 KG",9,1.25,"ad99ed562d5d808977b10fa512bfde8b",1,281874,0,0,281875,0,0,0,0,281875,0,0,0,0,4405,4405,0,0,0,0,146575,0,0,0,0,660750,660750,146575
"BR0013","13 bolsas de 0,5 kg | Brocoli en rejilla | Ref 9WZ","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13 X 0,5 KG",13,0.5,"c96df5913565ba35f3e02e744c9a6dde",1,153251,0,0,153252,0,153252,0,0,0,0,3649,0,0,0,3649,0,73560.96,0,0,0,0,547350,0,0,0,547350,73560.96
"BR0014","Brocoli zigzag - clasico - Caja de 13 packs de 0,75 kg | Ref LE4","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",1,56318,0,0,56319,0,0,0,0,56319,0,0,0,0,1006,1006,0,0,0,0,29285.88,0,0,0,0,150900,150900,29285.88
"BR0015","Brocoli zigzag - con sal - Caja de 13 packs de 0,75 kg","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",0,30861,0,50,30911,0,0,0,0,30911,0,0,0,0,552,552,0,0,0,0,16073.72,0,0,0,0,82800,82800,16073.72
"BR0016","13 bolsas de 0,75 kg | Brocoli zigzag picante | Ref 1Y1","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",0,30466,0,0,30466,0,0,0,0,30466,0,0,0,0,545,545,0,0,0,0,15842.32,0,0,0,0,81750,81750,15842.32
"BR0017","Tiras para dip de brocoli - con sal - Caja de 13 packs de 0,75 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"c96df5913565ba35f3e02e744c9a6dde",1,131798,0,0,131799,0,131799,0,0,0,0,3139,0,0,0,3139,0,63263.52,0,0,0,0,470850,0,0,0,470850,63263.52
"BR0018","Bastones rectos de brocoli - clasico - Caja de 13 packs de 1 kg | Ref 8QS","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",13,"13 X 1 KG",13,1,"2060590a59a5c59ff1bb32dbffe1028b",1,181570,0,0,181571,0,0,0,0,181571,0,0,0,0,3783,3783,0,0,0,0,94416.92,0,0,0,0,567450,567450,94416.92
"BR0019","Espirales de brocoli - clasico - Caja de 13 packs de 0,5 kg | Ref G0M","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13x0,5 kg",13,0.5,"af25ed4a56d3b3317fc10fd23b427cc4",0,1447,0,0,1447,0,1447,0,0,0,0,31,0,0,0,31,0,955.02,0,0,0,0,4650,0,0,0,4650,955.02
"BR0020","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref MI1","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"a130566667d4be7bb38053adaefea0af",91699,0,0,0,91699,70380,0,0,21319,0,1100,0,0,334,0,1434,38005.2,0,0,8953.98,0,165000,0,0,50100,0,215100,46959.18
"BR0021","5 bolsas de 2,5 kg | Bastones rectos de brocoli | Ref J9N","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"1a3ffa8018de4637afcdd1e390e2602a",40184,0,0,0,40184,40184,0,0,0,0,628,0,0,0,0,628,20895.68,0,0,0,0,94200,0,0,0,0,94200,20895.68
"BR0022","BonsaiGreen Bastones rectos de brocoli 7x7 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"9dbb448086386afae3321dda0441c688",14747,0,0,0,14747,14747,0,0,0,0,264,0,0,0,0,264,8848.2,0,0,0,0,39600,0,0,0,0,39600,8848.2
"BR0023","5 bolsas de 2,5 kg | Cubos de brocoli","Cubos de brocoli","Forma estable","Guarniciones - Cubos","Guarniciones","Forma",12.5,"5 X 2,5 KG",5,2.5,"8f61ca662a88d3f0432d0d6a0cfbf2ee",13807,0,0,0,13807,0,13807,0,0,0,0,192,0,0,0,192,0,8077.095,0,0,0,0,28800,0,0,0,28800,8077.095
"BR0024","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref T5P","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",3004,0,0,0,3004,0,0,3004,0,0,0,0,54,0,0,54,0,0,1261.68,0,0,0,0,8100,0,0,8100,1261.68
"BR0025","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref KX3","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",59324,78002,1926,639,139891,44072,0,0,95819,0,613,0,0,1331,0,1944,20052.76,0,0,49825.88,0,91950,0,0,199650,0,291600,69878.64
"BR0026","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref 85V","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2.5 KG",2.5,2.5,"79637c70988d89fe3abe191b59c1ed0c",109226,0,0,0,109226,68302,0,0,40924,0,1220,0,0,731,0,1951,35517.04,0,0,26600.6,0,183000,0,0,109650,0,292650,62117.64
"BR0027","BonsaiGreen Bastones rectos de brocoli 11x11 mm 5 x 2,5 kg | Ref WKQ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"ad02b3d41b4467a5a65a742951a80e72",82289,0,0,0,82289,82289,0,0,0,0,1029,0,0,0,0,1029,42790.28,0,0,0,0,154350,0,0,0,0,154350,42790.28
"BR0028","5 bolsas de 2,5 kg | Bastones rectos de brocoli 11x11 mm | Ref VER","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2.5 KG",2.5,2.5,"4910b652fb2cf1c609d243a1e78d1919",3136,0,0,0,3136,3136,0,0,0,0,56,0,0,0,0,56,2242.24,0,0,0,0,8400,0,0,0,0,8400,2242.24
"BR0029","Bastones rectos de brocoli 13x13 mm - clasico - Caja de 5 packs de 2,5 kg | Ref H50","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Grueso",12.5,"5 X 2,5 KG",5,2.5,"ad02b3d41b4467a5a65a742951a80e72",86631,0,0,0,86631,86631,0,0,0,0,1083,0,0,0,0,1083,45048.12,0,0,0,0,162450,0,0,0,0,162450,45048.12
"BR0030","Gajos de brocoli - sazonado, con cabo - Caja de 5 packs de 2,5 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Mayordomo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"6317bf81cd9d3fe0f209963e7fd234f7",0,22233,0,6900,29133,0,29133,0,0,0,0,405,0,0,0,405,0,20393.1,0,0,0,0,60750,0,0,0,60750,20393.1
"BR0031","5 bolsas de 2,5 kg | Bastones rectos de brocoli 11x11 mm | Ref 54T","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"cb9988b0557e22e3abc2bbe0a56967d0",13965,0,0,0,13965,13965,0,0,0,0,175,0,0,0,0,175,9984.975,0,0,0,0,26250,0,0,0,0,26250,9984.975
"BR0032","BonsaiGreen Bastones rectos de brocoli 13x13 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Grueso",12.5,"5 x 2,5 kg",5,2.5,"bfcb33e665554321d0a93ce891eadb54",14194,0,0,0,14194,14194,0,0,0,0,178,0,0,0,0,178,10148.71,0,0,0,0,26700,0,0,0,0,26700,10148.71
"BR0033","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref LUJ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",11,"11 X1,0 KG",11,1,"a12aea41ad9864b83129274495d5d5b2",41585,23378,0,0,64963,64963,0,0,0,0,903,0,0,0,0,903,38003.355,0,0,0,0,135450,0,0,0,0,135450,38003.355
"BR0034","13 bolsas de 0,75 kg | Gajos de brocoli | Ref 5WO","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"d3d0a6587d8f983d383e032e2b9acacc",0,730326,0,0,730326,0,617364,112962,0,0,0,8575,1569,0,0,10144,0,302508.36,63258.72,0,0,0,1286250,235350,0,0,1521600,365767.08
"BR0035","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x18 mm | Ref 9WE","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"162c41fa859810e889efa37f867819bb",15862,0,0,0,15862,15862,0,0,0,0,331,0,0,0,0,331,9517.2,0,0,0,0,49650,0,0,0,0,49650,9517.2
"BR0036","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref X7N","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5X 2,5 KG",5,2.5,"ceda63d824383fb94ca5e9bd08701d70",27685,0,0,0,27685,11088,0,0,16597,0,139,0,0,208,0,347,8537.76,0,0,12779.69,0,20850,0,0,31200,0,52050,21317.45
"BR0037","Bastones rectos de brocoli 9x9 mm - sazonado - Caja de 5 packs de 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 x 2,5 kg",5,2.5,"37070e9f43f02e356af14131f16a3112",3201,0,62939,0,66140,0,0,66140,0,0,0,0,1182,0,0,1182,0,0,35715.6,0,0,0,0,177300,0,0,177300,35715.6
"BR0038","BonsaiGreen Tiras para dip de brocoli 6x21 mm 5 x 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",31584,0,0,0,31584,0,31584,0,0,0,0,564,0,0,0,564,0,13265.28,0,0,0,0,84600,0,0,0,84600,13265.28
"BR0039","Tiras para dip de brocoli - clasico - Caja de 5 packs de 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"37070e9f43f02e356af14131f16a3112",23517,0,6,0,23523,0,23523,0,0,0,0,421,0,0,0,421,0,9879.66,0,0,0,0,63150,0,0,0,63150,9879.66
"BR0040","BonsaiGreen Tiras para dip de brocoli sin gluten 5 x 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",0,0,12725,0,12725,0,12725,0,0,0,0,228,0,0,0,228,0,5344.5,0,0,0,0,34200,0,0,0,34200,5344.5
"BR0041","5 bolsas de 2,5 kg | Tiras para dip de brocoli sin gluten","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",0,0,43428,0,43428,0,43428,0,0,0,0,776,0,0,0,776,0,18239.76,0,0,0,0,116400,0,0,0,116400,18239.76
"BR0042","Gajos de brocoli - clasico - Caja de 5 packs de 2,5 kg | Ref 84F","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"83d3c7c10fbc6fe2e476fd8c600855e2",31809,0,0,0,31809,0,31809,0,0,0,0,442,0,0,0,442,0,13359.78,0,0,0,0,66300,0,0,0,66300,13359.78
"BR0043","2 bolsas de 2,5 kg | Tortitas de brocoli","Tortitas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",11771,0,0,0,11771,11771,0,0,0,0,134,0,0,0,0,134,8239.7,0,0,0,0,20100,0,0,0,0,20100,8239.7
"BR0044","Tortitas de brocoli - clasico - Caja de 2 packs de 2,5 kg","Tortitas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",2256,0,0,0,2256,2256,0,0,0,0,26,0,0,0,0,26,1579.2,0,0,0,0,3900,0,0,0,0,3900,1579.2
"BR0045","BonsaiVegetales Rosti de brocoli 2 x 2,5 kg","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"f201c0669374a768669461ddff1643e4",13225,0,0,0,13225,13225,0,0,0,0,101,0,0,0,0,101,9257.5,0,0,0,0,15150,0,0,0,0,15150,9257.5
"BR0046","BonsaiVegetales Rosti de brocoli 2 x 2,5 kg","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",8665,0,0,0,8665,8665,0,0,0,0,99,0,0,0,0,99,6065.5,0,0,0,0,14850,0,0,0,0,14850,6065.5
"BR0047","Rosti de brocoli - clasico - Caja de 2 packs de 2,5 kg","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",2166,0,0,0,2166,2166,0,0,0,0,25,0,0,0,0,25,1516.2,0,0,0,0,3750,0,0,0,0,3750,1516.2
"BR0048","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref MIX","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",11,"11 X 1 KG",11,1,"a7d151b83674a2f9c36356597a93821c",133,28,59,2,222,35,79,51,26,31,1,2,1,1,1,6,19.6,60.83,39.27,20.02,23.87,150,300,150,150,150,900,163.59
"BR0049","13 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",13,"13 X 1,0 kg",13,1,"ea6403e25e3a52198dad19251c207a47",4328,0,0,0,4328,4328,0,0,0,0,78,0,0,0,0,78,2726.64,0,0,0,0,11700,0,0,0,0,11700,2726.64
"BR0050","Rodajas de brocoli - clasico - Caja de 5 packs de 2,5 kg","Rodajas de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"8b92b5a6728066959f3f11c35d1cd62f",9242,0,0,0,9242,9242,0,0,0,0,166,0,0,0,0,166,7116.34,0,0,0,0,24900,0,0,0,0,24900,7116.34
"BR0051","BonsaiGreen Rodajas de brocoli 13 x 0,75 kg","Rodajas de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"10c5f9edbe2c87186bcdeb991fe8d902",135,28,60,2,225,35,80,52,27,31,1,2,1,1,1,6,22.05,61.6,40.04,20.79,23.87,150,300,150,150,150,900,168.35
"BR0052","5 bolsas de 2,5 kg | Brocoli zigzag 9x9 mm","Brocoli zigzag","Forma estable","Bastones clasicos - Legumes Frites","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"a7d151b83674a2f9c36356597a93821c",68844,0,0,0,68844,68844,0,0,0,0,1230,0,0,0,0,1230,38552.64,0,0,0,0,184500,0,0,0,0,184500,38552.64
"BR0053","Gajos de brocoli - clasico - Caja de 5 packs de 2,5 kg | Ref 5PP","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"8b92b5a6728066959f3f11c35d1cd62f",2320,0,0,0,2320,2320,0,0,0,0,42,0,0,0,0,42,1786.4,0,0,0,0,6300,0,0,0,0,6300,1786.4
"BR0054","Bastones rectos de brocoli 6x6 mm - clasico - Caja de 5 packs de 2,5 kg | Ref Y5K","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"ea6403e25e3a52198dad19251c207a47",42687,0,0,0,42687,42687,0,0,0,0,763,0,0,0,0,763,26892.81,0,0,0,0,114450,0,0,0,0,114450,26892.81
"BR0055","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x9 mm | Ref MKJ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"a7d151b83674a2f9c36356597a93821c",74368,0,0,0,74368,74368,0,0,0,0,1328,0,0,0,0,1328,41646.08,0,0,0,0,199200,0,0,0,0,199200,41646.08
"BR0056","BonsaiGreen Bastones rectos de brocoli 9x18 mm 5 x 2,5 kg | Ref NYY","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"a7d151b83674a2f9c36356597a93821c",15355,0,0,0,15355,15355,0,0,0,0,275,0,0,0,0,275,8598.8,0,0,0,0,41250,0,0,0,0,41250,8598.8
"BR0057","BonsaiGreen Bastones rectos de brocoli 12x12 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"5291917030874f6b0d887d1710a073f8",23499,0,0,0,23499,23499,0,0,0,0,420,0,0,0,0,420,16449.3,0,0,0,0,63000,0,0,0,0,63000,16449.3
"BR0058","Croquetas de brocoli - clasico - Caja de 2 packs de 2,5 kg","Croquetas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"f201c0669374a768669461ddff1643e4",7710,0,0,0,7710,7710,0,0,0,0,59,0,0,0,0,59,5397,0,0,0,0,8850,0,0,0,0,8850,5397
"BR0059","BonsaiVegetales Croquetas de brocoli 5 x 2,5 kg","Croquetas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",12.5,"5 X 2,5 KG",5,2.5,"ea6403e25e3a52198dad19251c207a47",4286,0,0,0,4286,4286,0,0,0,0,77,0,0,0,0,77,2700.18,0,0,0,0,11550,0,0,0,0,11550,2700.18
"BR0060","Brocoli zigzag - clasico - Caja de 13 packs de 0,75 kg | Ref H3U","Brocoli zigzag","Forma estable","Bastones clasicos - Legumes Frites","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"10c5f9edbe2c87186bcdeb991fe8d902",28971,0,0,0,28971,28971,0,0,0,0,518,0,0,0,0,518,18251.73,0,0,0,0,77700,0,0,0,0,77700,18251.73
"BR0061","13 bolsas de 0,75 kg | Gajos de brocoli | Ref 2R1","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"10c5f9edbe2c87186bcdeb991fe8d902",4504,0,0,0,4504,4504,0,0,0,0,81,0,0,0,0,81,2837.52,0,0,0,0,12150,0,0,0,0,12150,2837.52
"BR0062","13 bolsas de 0,75 kg | Bastones rectos de brocoli","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Corte steak",9.75,"13 X 0,75 KG",13,0.75,"10c5f9edbe2c87186bcdeb991fe8d902",6025,0,0,0,6025,6025,0,0,0,0,108,0,0,0,0,108,3795.75,0,0,0,0,16200,0,0,0,0,16200,3795.75
"BR0063","13 bolsas de 0,75 kg | Bastones rectos de brocoli 6x6 mm","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",9.75,"13 X 0,75 KG",13,0.75,"10c5f9edbe2c87186bcdeb991fe8d902",11555,0,0,0,11555,11555,0,0,0,0,207,0,0,0,0,207,7279.65,0,0,0,0,31050,0,0,0,0,31050,7279.65
"BR0064","Croquetas de brocoli - clasico - Caja de 13 packs de 0,75 kg","Croquetas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",9.75,"13 X 0,75 KG",13,0.75,"ea6403e25e3a52198dad19251c207a47",14837,0,0,0,14837,14837,0,0,0,0,265,0,0,0,0,265,9347.31,0,0,0,0,39750,0,0,0,0,39750,9347.31
