"codigo_producto","descripcion_producto","ingrediente_forma","tipo_proyecto","subcategoria","categoria","tamaño_corte","peso_neto_caja","tamaño_paquete","cantidad_paquetes","peso_neto_paquete","caja_tipo_id","id_sencillo","caja_grosor_mm","caja_interior_largo","caja_interior_ancho","caja_interior_alto","caja_exterior_largo","caja_exterior_ancho","caja_exterior_alto","pallet_alto","pallet_ancho","pallet_largo","cantidad_cajas_alto","cantidad_cajas_largo","cantidad_cajas_ancho","cantidad_cajas_total","utilizacion","volumen_interior_caja_mm3","volumen_exterior_caja_mm3","volumen_pallet_mm3","perimetro_caja_m","headspace_max_pct","ect_n_m","carga_max_kg","volumen_tipo_planta_buenos_aires","volumen_tipo_planta_curitiba","volumen_tipo_planta_santiago","volumen_tipo_planta_monterrey","volumen_tipo_planta_bakersfield","costo_unitario_base","costo_total_base","costo_unitario_planta_buenos_aires","costo_unitario_planta_curitiba","costo_unitario_planta_santiago","costo_unitario_planta_monterrey","costo_unitario_planta_bakersfield","descuento_planta_buenos_aires","descuento_planta_curitiba","descuento_planta_santiago","descuento_planta_monterrey","descuento_planta_bakersfield","costo_por_pallet"
"BR0011","Brocoli en rejilla - sazonado - Caja de 13 packs de 0,75 kg","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"9d44d480026dfab07731a73d1d0c6539",115,4.1,388,288,283,396.2,296.2,291.2,1800,800,1200,6,2,4,48,0.949267025777778,31623552,34173612.928,1728000000,1.3848,0.08,1200,169.394495412844,0,0,13433,0,0,0.65,8731.45,0.715,0.715,0.715,0.715,0.715,10,10,10,10,10,150
"BR0012","Bastones rectos de brocoli - clasico - Caja de 9 packs de 1,25 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",11.25,"9 X 1,25 KG",9,1.25,"ad99ed562d5d808977b10fa512bfde8b",138,4.1,386,286,214,394.2,294.2,222.2,1800,800,1200,8,2,4,64,0.954420104,23624744,25769342.808,1728000000,1.3768,0.08,1200,168.415902140673,0,304508,185908,0,1127500,0.65,262911.35,0.715,0.585,0.65,0.715,0.52,10,-10,0,10,-20,150
"BR0013","13 bolsas de 0,5 kg | Brocoli en rejilla | Ref 9WZ","Brocoli en rejilla","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13 X 0,5 KG",13,0.5,"c96df5913565ba35f3e02e744c9a6dde",160,2.7,395,296,224,400,301.4,229.4,1800,800,1200,7,2,3,42,0.672205722222222,26190080,27656464,1728000000,1.4028,0.06,730,104.387767584098,0,1877934,0,0,2492424,0.6,437035.8,0.66,0.48,0.66,0.66,0.48,10,-20,10,10,-20,150
"BR0014","Brocoli zigzag - clasico - Caja de 13 packs de 0,75 kg | Ref LE4","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",87,4.1,386,286,244,394.2,294.2,252.2,1800,800,1200,7,2,4,56,0.947869741,26936624,29248552.008,1728000000,1.3768,0.08,1200,168.415902140673,0,0,0,0,353088,0.65,76502.4,0.715,0.715,0.715,0.715,0.52,10,10,10,10,-20,150
"BR0015","Brocoli zigzag - con sal - Caja de 13 packs de 0,75 kg","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",87,4.1,386,286,244,394.2,294.2,252.2,1800,800,1200,7,2,4,56,0.947869741,26936624,29248552.008,1728000000,1.3768,0.08,1200,168.415902140673,0,0,0,0,353088,0.65,76502.4,0.715,0.715,0.715,0.715,0.52,10,10,10,10,-20,150
"BR0016","13 bolsas de 0,75 kg | Brocoli zigzag picante | Ref 1Y1","Brocoli zigzag","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"6bd5fa9e984e7243519003fc969aa30d",87,4.1,386,286,244,394.2,294.2,252.2,1800,800,1200,7,2,4,56,0.947869741,26936624,29248552.008,1728000000,1.3768,0.08,1200,168.415902140673,0,0,0,0,353088,0.65,76502.4,0.715,0.715,0.715,0.715,0.52,10,10,10,10,-20,150
"BR0017","Tiras para dip de brocoli - con sal - Caja de 13 packs de 0,75 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"c96df5913565ba35f3e02e744c9a6dde",160,2.7,395,296,224,400,301.4,229.4,1800,800,1200,7,2,3,42,0.672205722222222,26190080,27656464,1728000000,1.4028,0.06,730,104.387767584098,0,1877934,0,0,2492424,0.6,437035.8,0.66,0.48,0.66,0.66,0.48,10,-20,10,10,-20,150
"BR0018","Bastones rectos de brocoli - clasico - Caja de 13 packs de 1 kg | Ref 8QS","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Grueso",13,"13 X 1 KG",13,1,"2060590a59a5c59ff1bb32dbffe1028b",23,4.1,386,286,288,394.2,294.2,296.2,1800,800,1200,6,2,4,48,0.954205338,31794048,34351392.168,1728000000,1.3768,0.08,1200,168.415902140673,0,3030744,317886,0,1089426,0.65,480789.4,0.715,0.455,0.585,0.715,0.52,10,-30,-10,10,-20,150
"BR0019","Espirales de brocoli - clasico - Caja de 13 packs de 0,5 kg | Ref G0M","Espirales de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",6.5,"13x0,5 kg",13,0.5,"af25ed4a56d3b3317fc10fd23b427cc4",140,2.7,393,255,260,398.4,260.4,265.4,1800,800,1200,6,2,4,48,0.764819104,26055900,27533487.744,1728000000,1.3176,0.06,730,98.0477064220183,0,1447,0,0,0,0.6,868.2,0.66,0.66,0.66,0.66,0.66,10,10,10,10,10,150
"BR0020","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref MI1","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"a130566667d4be7bb38053adaefea0af",119,2.7,393,255,204,398.4,260.4,209.4,1800,800,1200,8,2,4,64,0.804587392,20443860,21723859.584,1728000000,1.3176,0.06,730,98.0477064220183,422280,1385562,0,4166136,0,0.6,597397.8,0.54,0.48,0.66,0.42,0.66,-10,-20,10,-30,10,150
"BR0021","5 bolsas de 2,5 kg | Bastones rectos de brocoli | Ref J9N","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"1a3ffa8018de4637afcdd1e390e2602a",14,4.1,383,248,199,391.2,256.2,207.2,1800,800,1200,8,2,4,64,0.769137450666667,18901816,20766711.168,1728000000,1.2948,0.08,1200,158.385321100917,546324,0,0,526628,375136,0.65,235314.3,0.52,0.715,0.715,0.52,0.585,-20,10,10,-20,-10,150
"BR0022","BonsaiGreen Bastones rectos de brocoli 7x7 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Fino",12.5,"5 X 2,5 KG",5,2.5,"9dbb448086386afae3321dda0441c688",116,2.7,393,255,230,398.4,260.4,235.4,1800,800,1200,7,2,4,56,0.791427354666667,23049450,24421186.944,1728000000,1.3176,0.06,730,98.0477064220183,113020,191744,95828,132548,0,0.6,79971,0.6,0.6,0.6,0.6,0.66,0,0,0,0,10,150
"BR0023","5 bolsas de 2,5 kg | Cubos de brocoli","Cubos de brocoli","Forma estable","Guarniciones - Cubos","Guarniciones","Forma",12.5,"5 X 2,5 KG",5,2.5,"8f61ca662a88d3f0432d0d6a0cfbf2ee",107,4.1,383,248,179,391.2,256.2,187.2,1800,800,1200,9,2,4,72,0.781758432,17002136,18762202.368,1728000000,1.2948,0.08,1200,158.385321100917,0,157748,0,0,0,0.65,51268.1,0.715,0.585,0.715,0.715,0.715,10,-10,10,10,10,150
"BR0024","Bastones rectos de brocoli 9x9 mm - clasico - Caja de 5 packs de 2,5 kg | Ref T5P","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,0,19759330,6277130,0,5971450,0.6,1538329.8,0.66,0.42,0.42,0.66,0.42,10,-30,-30,10,30,150
"BR0025","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref KX3","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"55b52b97c05b19dbbbefa191622fe36a",66,4.1,386,286,179,394.2,294.2,187.2,1800,800,1200,9,2,4,72,0.904594392,19760884,21710265.408,1728000000,1.3768,0.08,1200,168.415902140673,4150192,6511048,34760,2059872,20680,0.65,1038094.85,0.455,0.455,0.715,0.52,0.715,-30,-30,10,-20,10,150
"BR0026","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref 85V","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2.5 KG",2.5,2.5,"79637c70988d89fe3abe191b59c1ed0c",99,4.1,388,288,219,396.2,296.2,227.2,1800,800,1200,7,2,4,56,0.864076395259259,24471936,26662928.768,1728000000,1.3848,0.08,1200,169.394495412844,333915,0,0,122772,196494,0.65,141522.55,0.52,0.715,0.715,0.65,0.585,-20,10,10,0,-10,150
"BR0027","BonsaiGreen Bastones rectos de brocoli 11x11 mm 5 x 2,5 kg | Ref WKQ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"ad02b3d41b4467a5a65a742951a80e72",135,4.1,386,286,171,394.2,294.2,179.2,1800,800,1200,10,2,4,80,0.96215168,18877716,20782476.288,1728000000,1.3768,0.08,1200,168.415902140673,718833,0,0,0,0,0.65,155747.15,0.52,0.715,0.715,0.715,0.715,-20,10,10,10,10,150
"BR0028","5 bolsas de 2,5 kg | Bastones rectos de brocoli 11x11 mm | Ref VER","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2.5 KG",2.5,2.5,"4910b652fb2cf1c609d243a1e78d1919",53,4.1,386,286,217,394.2,294.2,225.2,1800,800,1200,7,2,4,56,0.846392806,23955932,26117263.728,1728000000,1.3768,0.08,1200,168.415902140673,3136,0,0,0,0,0.65,2038.4,0.715,0.715,0.715,0.715,0.715,10,10,10,10,10,150
"BR0029","Bastones rectos de brocoli 13x13 mm - clasico - Caja de 5 packs de 2,5 kg | Ref H50","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Grueso",12.5,"5 X 2,5 KG",5,2.5,"ad02b3d41b4467a5a65a742951a80e72",135,4.1,386,286,171,394.2,294.2,179.2,1800,800,1200,10,2,4,80,0.96215168,18877716,20782476.288,1728000000,1.3768,0.08,1200,168.415902140673,718833,0,0,0,0,0.65,155747.15,0.52,0.715,0.715,0.715,0.715,-20,10,10,10,10,150
"BR0030","Gajos de brocoli - sazonado, con cabo - Caja de 5 packs de 2,5 kg","Gajos de brocoli","Forma estable","Bastones clasicos - Mayordomo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"6317bf81cd9d3fe0f209963e7fd234f7",80,4.8,380,282,172,389.6,291.6,181.6,1800,800,1200,9,2,4,72,0.859629024,18431520,20631096.576,1728000000,1.3624,0.1,1550,215.261977573904,0,29133,0,0,0,0.7,20393.1,0.77,0.7,0.77,0.77,0.77,10,0,10,10,10,150
"BR0031","5 bolsas de 2,5 kg | Bastones rectos de brocoli 11x11 mm | Ref 54T","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",12.5,"5 X 2,5 KG",5,2.5,"cb9988b0557e22e3abc2bbe0a56967d0",163,4.1,386,286,169,394.2,294.2,177.2,1800,800,1200,10,2,4,80,0.95141338,18656924,20550529.008,1728000000,1.3768,0.08,1200,168.415902140673,27930,0,0,0,3924,0.65,10352.55,0.715,0.715,0.715,0.715,0.715,10,10,10,10,10,150
"BR0032","BonsaiGreen Bastones rectos de brocoli 13x13 mm 5 x 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Grueso",12.5,"5 x 2,5 kg",5,2.5,"bfcb33e665554321d0a93ce891eadb54",155,4.1,386,286,159,394.2,294.2,167.2,1800,800,1200,10,2,4,80,0.89772188,17552964,19390792.608,1728000000,1.3768,0.08,1200,168.415902140673,14194,0,0,0,0,0.65,9226.1,0.715,0.715,0.715,0.715,0.715,10,10,10,10,10,150
"BR0033","11 bolsas de 1 kg | Bastones rectos de brocoli 9x9 mm | Ref LUJ","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Medio",11,"11 X1,0 KG",11,1,"a12aea41ad9864b83129274495d5d5b2",118,4.1,388,288,184,396.2,296.2,192.2,1800,800,1200,9,2,4,72,0.939813473666667,20560896,22555523.368,1728000000,1.3848,0.08,1200,169.394495412844,64963,0,0,0,0,0.65,42225.95,0.585,0.715,0.715,0.715,0.715,-10,10,10,10,10,150
"BR0034","13 bolsas de 0,75 kg | Gajos de brocoli | Ref 5WO","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",9.75,"13 X 0,75 KG",13,0.75,"d3d0a6587d8f983d383e032e2b9acacc",173,4.8,379,246,182,388.6,255.6,191.6,1800,800,1200,9,2,4,72,0.792953844,16968588,19030892.256,1728000000,1.2884,0.1,1550,203.569826707441,0,617364,112962,0,0,0.7,511228.2,0.77,0.49,0.56,0.77,0.77,10,-30,-20,10,10,150
"BR0035","5 bolsas de 2,5 kg | Bastones rectos de brocoli 9x18 mm | Ref 9WE","Bastones rectos de brocoli","Estacional","Bastones clasicos - Mayordomo","Bastones clasicos","Corte steak",12.5,"5 X 2,5 KG",5,2.5,"162c41fa859810e889efa37f867819bb",12,2.7,395,296,214,400,301.4,219.4,1800,800,1200,8,2,3,48,0.734746222222222,25020880,26450864,1728000000,1.4028,0.06,730,104.387767584098,104493,1453053,0,0,0,0.6,311509.2,0.6,0.48,0.66,0.66,0.66,0,-20,10,10,10,150
"BR0036","BonsaiGreen Bastones rectos de brocoli 9x9 mm 5 x 2,5 kg | Ref X7N","Bastones rectos de brocoli","Estacional","Bastones clasicos - Legumes Frites","Bastones clasicos","Medio",12.5,"5X 2,5 KG",5,2.5,"ceda63d824383fb94ca5e9bd08701d70",168,4.8,384,286,163,393.6,295.6,172.6,1800,800,1200,10,2,4,80,0.929707982222222,17901312,20081692.416,1728000000,1.3784,0.1,1550,217.79001019368,11088,0,0,16597,0,0.7,19379.5,0.77,0.77,0.77,0.77,0.77,10,10,10,10,10,150
"BR0037","Bastones rectos de brocoli 9x9 mm - sazonado - Caja de 5 packs de 2,5 kg","Bastones rectos de brocoli","Estacional","Bastones clasicos - Sigilo","Bastones clasicos","Medio",12.5,"5 x 2,5 kg",5,2.5,"37070e9f43f02e356af14131f16a3112",40,2.7,393,255,245,398.4,260.4,250.4,1800,800,1200,7,2,4,56,0.841858154666667,24552675,25977337.344,1728000000,1.3176,0.06,730,98.0477064220183,0,4621148,264560,0,0,0.6,400580.4,0.66,0.42,0.54,0.66,0.66,10,-30,-10,10,10,150
"BR0038","BonsaiGreen Tiras para dip de brocoli 6x21 mm 5 x 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,0,19759330,6277130,0,5971450,0.6,1538329.8,0.66,0.42,0.42,0.66,0.42,10,-30,-30,10,30,150
"BR0039","Tiras para dip de brocoli - clasico - Caja de 5 packs de 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"37070e9f43f02e356af14131f16a3112",40,2.7,393,255,245,398.4,260.4,250.4,1800,800,1200,7,2,4,56,0.841858154666667,24552675,25977337.344,1728000000,1.3176,0.06,730,98.0477064220183,0,4621148,264560,0,0,0.6,400580.4,0.66,0.42,0.54,0.66,0.66,10,-30,-10,10,10,150
"BR0040","BonsaiGreen Tiras para dip de brocoli sin gluten 5 x 2,5 kg","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,0,19759330,6277130,0,5971450,0.6,1538329.8,0.66,0.42,0.42,0.66,0.42,10,-30,-30,10,30,150
"BR0041","5 bolsas de 2,5 kg | Tiras para dip de brocoli sin gluten","Tiras para dip de brocoli","Forma estable","Bastones clasicos - Sigilo","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"fa8da38322149b23e14a120e71d38975",200,2.7,393,255,235,398.4,260.4,240.4,1800,800,1200,7,2,4,56,0.808237621333333,23550525,24939903.744,1728000000,1.3176,0.06,730,98.0477064220183,0,19759330,6277130,0,5971450,0.6,1538329.8,0.66,0.42,0.42,0.66,0.42,10,-30,-30,10,30,150
"BR0042","Gajos de brocoli - clasico - Caja de 5 packs de 2,5 kg | Ref 84F","Gajos de brocoli","Forma estable","Bastones clasicos - Reserva Privada","Bastones clasicos","Forma",12.5,"5 X 2,5 KG",5,2.5,"83d3c7c10fbc6fe2e476fd8c600855e2",102,2.7,393,255,194,398.4,260.4,199.4,1800,800,1200,9,2,4,72,0.861934416,19441710,20686425.984,1728000000,1.3176,0.06,730,98.0477064220183,0,6090540,1812800,0,0,0.6,948400.8,0.66,0.42,0.48,0.66,0.66,10,-30,-20,10,10,150
"BR0043","2 bolsas de 2,5 kg | Tortitas de brocoli","Tortitas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",29,4.6,380,252,144,389.2,261.2,153.2,1800,800,1200,11,2,4,88,0.793128769481481,13789440,15574164.928,1728000000,1.3008,0.1,1450,192.269113149847,217344,0,0,0,0,0.7,25356.8,0.7,0.77,0.77,0.77,0.77,0,10,10,10,10,150
"BR0044","Tortitas de brocoli - clasico - Caja de 2 packs de 2,5 kg","Tortitas de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",29,4.6,380,252,144,389.2,261.2,153.2,1800,800,1200,11,2,4,88,0.793128769481481,13789440,15574164.928,1728000000,1.3008,0.1,1450,192.269113149847,217344,0,0,0,0,0.7,25356.8,0.7,0.77,0.77,0.77,0.77,0,10,10,10,10,150
"BR0045","BonsaiVegetales Rosti de brocoli 2 x 2,5 kg","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"f201c0669374a768669461ddff1643e4",197,4.6,375,182,152,384.2,191.2,161.2,1800,800,1200,11,2,6,132,0.904566456444444,10374000,11841597.248,1728000000,1.1508,0.1,1450,170.097859327217,41870,0,0,0,0,0.7,14654.5,0.7,0.77,0.77,0.77,0.77,0,10,10,10,10,150
"BR0046","BonsaiVegetales Rosti de brocoli 2 x 2,5 kg","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",29,4.6,380,252,144,389.2,261.2,153.2,1800,800,1200,11,2,4,88,0.793128769481481,13789440,15574164.928,1728000000,1.3008,0.1,1450,192.269113149847,217344,0,0,0,0,0.7,25356.8,0.7,0.77,0.77,0.77,0.77,0,10,10,10,10,150
"BR0047","Rosti de brocoli - clasico - Caja de 2 packs de 2,5 kg","Rosti de brocoli","Forma estable","Guarniciones - Legumes Croquetas","Guarniciones","Forma",5,"2 X 2,5 KG",2,2.5,"25b51ca97d24c6dd7fdc2fd6f9551dac",29,4.6,380,252,144,389.2,261.2,153.2,1800,800,1200,11,2,4,88,0.793128769481481,13789440,15574164.928,1728000000,1.3008,0.1,1450,192.269113149847,217344,0,0,0,0,0.7,25356.8,0.7,0.77,0.77,0.77,0.77,0,10,10,10,10,150
