codigo_producto,candidate_id,costo_flete_usd,fuente,sku_semilla,caja_grosor_mm,L_int,W_int,H_int,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto,cajas_L,cajas_W,cajas_H,capacidad_pallet,carga_maxima_kg,capacidad_pallet_validada,costo_flete_usd_validado
BR0011,t3_0_c04025,42000.000000000000,par_factible,BR0134|BR0399,3.000000000000,393.403325358649,293.531366951489,284.889912118574,399.403325358649,299.531366951489,290.889912118574,2,4,6,48,142.494329345727,48,42000
BR0012,t3_0_c03763,660750.000000000000,par_factible,BR0120|BR0184,3.000000000000,393.846318385460,293.882265270826,206.352365791362,399.846318385460,299.882265270826,212.352365791362,2,4,8,64,142.656182829562,64,660750
BR0013,t3_0_c00962,410550.000000000000,par_factible,BR0014|BR0026,3.000000000000,393.709108395608,293.774039414591,232.891854981838,399.709108395608,299.774039414591,238.891854981838,2,4,7,56,142.606144940952,56,410550
BR0014,t3_0_c04534,150900.000000000000,par_factible,BR0151|BR0371,3.000000000000,393.288142989791,293.489681815439,243.106387964785,399.288142989791,299.489681815439,249.106387964785,2,4,7,56,142.462348203354,56,150900
BR0015,t3_0_c04534,82800.000000000000,par_factible,BR0151|BR0371,3.000000000000,393.288142989791,293.489681815439,243.106387964785,399.288142989791,299.489681815439,249.106387964785,2,4,7,56,142.462348203354,56,82800
BR0016,t3_0_c04534,81750.000000000000,par_factible,BR0151|BR0371,3.000000000000,393.288142989791,293.489681815439,243.106387964785,399.288142989791,299.489681815439,249.106387964785,2,4,7,56,142.462348203354,56,81750
BR0017,t3_0_c00962,353100.000000000000,par_factible,BR0014|BR0026,3.000000000000,393.709108395608,293.774039414591,232.891854981838,399.709108395608,299.774039414591,238.891854981838,2,4,7,56,142.606144940952,56,353100
BR0018,t3_0_c00012,567450.000000000000,optima_individual,BR0007,3.000000000000,393.879450675377,293.913580311683,293.899489682015,399.879450675377,299.913580311683,299.899489682015,2,4,6,48,142.669321938660,48,567450
BR0019,t3_0_c01389,3900.000000000000,par_factible,BR0024|BR0272,3.000000000000,393.926643810439,271.254614848935,249.936472350173,399.926643810439,277.254614848935,255.936472350173,2,4,7,56,138.059378594814,56,3900
BR0020,t3_0_c01179,191250.000000000000,par_factible,BR0020|BR0336,3.000000000000,392.579922309114,270.660762454932,193.633529189483,398.579922309114,276.660762454932,199.633529189483,2,4,9,72,137.663746815829,72,191250
BR0021,t3_0_c03114,75450.000000000000,par_factible,BR0097|BR0302,3.000000000000,393.794114158750,233.950962354025,209.483884683226,399.794114158750,239.950962354025,215.483884683226,2,5,8,80,130.427129507711,80,75450
BR0022,t3_0_c02065,34650.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,34650
BR0023,t3_0_c01912,25950.000000000000,par_factible,BR0036|BR0324,3.000000000000,392.816671857971,263.672587953179,173.323471288646,398.816671857971,269.672587953179,179.323471288646,2,4,10,80,136.287309530328,80,25950
BR0024,t3_0_c02927,8100.000000000000,par_factible,BR0089|BR0153,3.000000000000,393.707692424025,263.789457249705,246.609612684429,399.707692424025,269.789457249705,252.609612684429,2,4,7,56,136.492791661317,56,8100
BR0025,t3_0_c01885,262350.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,262350
BR0026,t3_0_c03328,256200.000000000000,par_factible,BR0103|BR0281,3.000000000000,393.464172072871,293.587905218947,213.748735251768,399.464172072871,299.587905218947,219.748735251768,2,4,8,64,142.518261044097,64,256200
BR0027,t3_0_c01885,154350.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,154350
BR0028,t3_0_c03328,7350.000000000000,par_factible,BR0103|BR0281,3.000000000000,393.464172072871,293.587905218947,213.748735251768,399.464172072871,299.587905218947,219.748735251768,2,4,8,64,142.518261044097,64,7350
BR0029,t3_0_c01885,162450.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,162450
BR0030,t3_0_c01885,54750.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,54750
BR0031,t3_0_c01885,26250.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,26250
BR0032,t3_0_c00017,24300.000000000000,optima_individual,BR0010,3.000000000000,392.705408975371,292.983218032755,157.357544839731,398.705408975371,298.983218032755,163.357544839731,2,4,11,88,142.240289531344,88,24300
BR0033,t3_0_c00182,135450.000000000000,optima_individual,BR0188,3.000000000000,393.456657286200,293.559680438227,193.726211629175,399.456657286200,299.559680438227,199.726211629175,2,4,9,72,142.510974689962,72,135450
BR0034,t3_0_c01331,1217400.000000000000,par_factible,BR0023|BR0265,3.000000000000,393.259674904599,233.837820648833,190.052733420557,399.259674904599,239.837820648833,196.052733420557,2,5,9,90,130.295104848615,90,1217400
BR0035,t3_0_c00244,37200.000000000000,optima_individual,BR0283,3.000000000000,393.987041795387,293.989934108923,218.995748919131,399.987041795387,299.989934108923,224.995748919131,2,4,8,64,142.706823450467,64,37200
BR0036,t3_0_c00017,47250.000000000000,optima_individual,BR0010,3.000000000000,392.705408975371,292.983218032755,157.357544839731,398.705408975371,298.983218032755,163.357544839731,2,4,11,88,142.240289531344,88,47250
BR0037,t3_0_c02927,177300.000000000000,par_factible,BR0089|BR0153,3.000000000000,393.707692424025,263.789457249705,246.609612684429,399.707692424025,269.789457249705,252.609612684429,2,4,7,56,136.492791661317,56,177300
BR0038,t3_0_c05529,84600.000000000000,par_factible,BR0281|BR0329,3.000000000000,393.463918085494,263.730513018633,237.947756656019,399.463918085494,269.730513018633,243.947756656019,2,4,7,56,136.431075337856,56,84600
BR0039,t3_0_c05529,63150.000000000000,par_factible,BR0281|BR0329,3.000000000000,393.463918085494,263.730513018633,237.947756656019,399.463918085494,269.730513018633,243.947756656019,2,4,7,56,136.431075337856,56,63150
BR0040,t3_0_c05529,34200.000000000000,par_factible,BR0281|BR0329,3.000000000000,393.463918085494,263.730513018633,237.947756656019,399.463918085494,269.730513018633,243.947756656019,2,4,7,56,136.431075337856,56,34200
BR0041,t3_0_c05529,116400.000000000000,par_factible,BR0281|BR0329,3.000000000000,393.463918085494,263.730513018633,237.947756656019,399.463918085494,269.730513018633,243.947756656019,2,4,7,56,136.431075337856,56,116400
BR0042,t3_0_c01179,66300.000000000000,par_factible,BR0020|BR0336,3.000000000000,392.579922309114,270.660762454932,193.633529189483,398.579922309114,276.660762454932,199.633529189483,2,4,9,72,137.663746815829,72,66300
BR0043,t3_0_c00050,16200.000000000000,optima_individual,BR0043,3.000000000000,390.088347872810,233.458388343332,151.416841079885,396.088347872810,239.458388343332,157.416841079885,2,5,11,110,129.571198772818,110,16200
BR0044,t3_0_c00050,3150.000000000000,optima_individual,BR0043,3.000000000000,390.088347872810,233.458388343332,151.416841079885,396.088347872810,239.458388343332,157.416841079885,2,5,11,110,129.571198772818,110,3150
BR0045,t3_0_c00052,13800.000000000000,optima_individual,BR0045,3.000000000000,387.138873425588,187.891399902552,142.617418992871,393.138873425588,193.891399902552,148.617418992871,2,6,12,144,119.679973002617,144,13800
BR0046,t3_0_c00050,11850.000000000000,optima_individual,BR0043,3.000000000000,390.088347872810,233.458388343332,151.416841079885,396.088347872810,239.458388343332,157.416841079885,2,5,11,110,129.571198772818,110,11850
BR0047,t3_0_c00050,3000.000000000000,optima_individual,BR0043,3.000000000000,390.088347872810,233.458388343332,151.416841079885,396.088347872810,239.458388343332,157.416841079885,2,5,11,110,129.571198772818,110,3000
BR0048,t3_0_c02065,900.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,900
BR0049,t3_0_c02139,10950.000000000000,par_factible,BR0049|BR0339,3.000000000000,390.736060465176,233.523320860284,258.159669960407,396.736060465176,239.523320860284,264.159669960407,2,5,6,60,129.716488294162,60,10950
BR0050,t3_0_c02148,19950.000000000000,par_factible,BR0050|BR0087,3.000000000000,393.091067535497,233.867256980065,227.079561543540,399.091067535497,239.867256980065,233.079561543540,2,5,7,70,130.266731548619,70,19950
BR0051,t3_0_c02065,900.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,900
BR0052,t3_0_c02055,147600.000000000000,par_factible,BR0048|BR0132,3.000000000000,393.644347892194,233.933489959603,244.374334885580,399.644347892194,239.933489959603,250.374334885580,2,5,7,70,130.393033960452,70,147600
BR0053,t3_0_c02148,5100.000000000000,par_factible,BR0050|BR0087,3.000000000000,393.091067535497,233.867256980065,227.079561543540,399.091067535497,239.867256980065,233.079561543540,2,5,7,70,130.266731548619,70,5100
BR0054,t3_0_c02139,106800.000000000000,par_factible,BR0049|BR0339,3.000000000000,390.736060465176,233.523320860284,258.159669960407,396.736060465176,239.523320860284,264.159669960407,2,5,6,60,129.716488294162,60,106800
BR0055,t3_0_c02055,159450.000000000000,par_factible,BR0048|BR0132,3.000000000000,393.644347892194,233.933489959603,244.374334885580,399.644347892194,239.933489959603,250.374334885580,2,5,7,70,130.393033960452,70,159450
BR0056,t3_0_c02055,33000.000000000000,par_factible,BR0048|BR0132,3.000000000000,393.644347892194,233.933489959603,244.374334885580,399.644347892194,239.933489959603,250.374334885580,2,5,7,70,130.393033960452,70,33000
BR0057,t3_0_c02230,50400.000000000000,par_factible,BR0051|BR0245,3.000000000000,393.555282378015,232.973500554299,238.125950324208,399.555282378015,238.973500554299,244.125950324208,2,5,7,70,130.179159361269,70,50400
BR0058,t3_0_c00052,8100.000000000000,optima_individual,BR0045,3.000000000000,387.138873425588,187.891399902552,142.617418992871,393.138873425588,193.891399902552,148.617418992871,2,6,12,144,119.679973002617,144,8100
BR0059,t3_0_c02139,10800.000000000000,par_factible,BR0049|BR0339,3.000000000000,390.736060465176,233.523320860284,258.159669960407,396.736060465176,239.523320860284,264.159669960407,2,5,6,60,129.716488294162,60,10800
BR0060,t3_0_c02230,62100.000000000000,par_factible,BR0051|BR0245,3.000000000000,393.555282378015,232.973500554299,238.125950324208,399.555282378015,238.973500554299,244.125950324208,2,5,7,70,130.179159361269,70,62100
BR0061,t3_0_c02230,9750.000000000000,par_factible,BR0051|BR0245,3.000000000000,393.555282378015,232.973500554299,238.125950324208,399.555282378015,238.973500554299,244.125950324208,2,5,7,70,130.179159361269,70,9750
BR0062,t3_0_c02230,13050.000000000000,par_factible,BR0051|BR0245,3.000000000000,393.555282378015,232.973500554299,238.125950324208,399.555282378015,238.973500554299,244.125950324208,2,5,7,70,130.179159361269,70,13050
BR0063,t3_0_c02230,24900.000000000000,par_factible,BR0051|BR0245,3.000000000000,393.555282378015,232.973500554299,238.125950324208,399.555282378015,238.973500554299,244.125950324208,2,5,7,70,130.179159361269,70,24900
BR0064,t3_0_c02139,37200.000000000000,par_factible,BR0049|BR0339,3.000000000000,390.736060465176,233.523320860284,258.159669960407,396.736060465176,239.523320860284,264.159669960407,2,5,6,60,129.716488294162,60,37200
BR0065,t3_0_c01885,180600.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,180600
BR0066,t3_0_c00017,100800.000000000000,optima_individual,BR0010,3.000000000000,392.705408975371,292.983218032755,157.357544839731,398.705408975371,298.983218032755,163.357544839731,2,4,11,88,142.240289531344,88,100800
BR0067,t3_0_c02927,46200.000000000000,par_factible,BR0089|BR0153,3.000000000000,393.707692424025,263.789457249705,246.609612684429,399.707692424025,269.789457249705,252.609612684429,2,4,7,56,136.492791661317,56,46200
BR0068,t3_0_c03328,94200.000000000000,par_factible,BR0103|BR0281,3.000000000000,393.464172072871,293.587905218947,213.748735251768,399.464172072871,299.587905218947,219.748735251768,2,4,8,64,142.518261044097,64,94200
BR0069,t3_0_c02065,118350.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,118350
BR0070,t3_0_c01179,71850.000000000000,par_factible,BR0020|BR0336,3.000000000000,392.579922309114,270.660762454932,193.633529189483,398.579922309114,276.660762454932,199.633529189483,2,4,9,72,137.663746815829,72,71850
BR0071,t3_0_c02065,91200.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,91200
BR0072,t3_0_c02065,98100.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,98100
BR0073,t3_0_c01906,54150.000000000000,par_factible,BR0036|BR0286,3.000000000000,393.789976507924,292.399264052730,172.172392210324,399.789976507924,298.399264052730,178.172392210324,2,4,10,80,142.342351416669,80,54150
BR0074,t3_0_c00215,71250.000000000000,optima_individual,BR0238,3.000000000000,393.693335084587,293.762924302295,251.100144978147,399.693335084587,299.762924302295,257.100144978147,2,4,7,56,142.600663101390,56,71250
BR0075,t3_0_c03929,67200.000000000000,par_factible,BR0130|BR0136,3.000000000000,393.828921779431,293.877356999302,265.931420790883,399.828921779431,299.877356999302,271.931420790883,2,4,6,48,142.651635453959,48,67200
BR0076,t3_0_c01912,65250.000000000000,par_factible,BR0036|BR0324,3.000000000000,392.816671857971,263.672587953179,173.323471288646,398.816671857971,269.672587953179,179.323471288646,2,4,10,80,136.287309530328,80,65250
BR0077,t3_0_c05690,2362950.000000000000,par_factible,BR0305|BR0323,3.000000000000,393.397607007077,293.568154721256,249.904557806744,399.397607007077,299.568154721256,255.904557806744,2,4,7,56,142.500663579750,56,2362950
BR0078,t3_0_c03929,3606150.000000000000,par_factible,BR0130|BR0136,3.000000000000,393.828921779431,293.877356999302,265.931420790883,399.828921779431,299.877356999302,271.931420790883,2,4,6,48,142.651635453959,48,3606150
BR0079,t3_0_c01389,93150.000000000000,par_factible,BR0024|BR0272,3.000000000000,393.926643810439,271.254614848935,249.936472350173,399.926643810439,277.254614848935,255.936472350173,2,4,7,56,138.059378594814,56,93150
BR0080,t3_0_c02731,78450.000000000000,par_factible,BR0080|BR0363,3.000000000000,391.509154021161,270.418918157633,284.666922283448,397.509154021161,276.418918157633,290.666922283448,2,4,6,48,137.396139767485,48,78450
BR0081,t3_0_c02740,12900.000000000000,par_factible,BR0081|BR0115,3.000000000000,393.877441753675,271.234396359934,292.438073667139,399.877441753675,277.234396359934,298.438073667139,2,4,6,48,138.045225578489,48,12900
BR0082,t3_0_c04025,123000.000000000000,par_factible,BR0134|BR0399,3.000000000000,393.403325358649,293.531366951489,284.889912118574,399.403325358649,299.531366951489,290.889912118574,2,4,6,48,142.494329345727,48,123000
BR0083,t3_0_c03929,220800.000000000000,par_factible,BR0130|BR0136,3.000000000000,393.828921779431,293.877356999302,265.931420790883,399.828921779431,299.877356999302,271.931420790883,2,4,6,48,142.651635453959,48,220800
BR0084,t3_0_c01389,65550.000000000000,par_factible,BR0024|BR0272,3.000000000000,393.926643810439,271.254614848935,249.936472350173,399.926643810439,277.254614848935,255.936472350173,2,4,7,56,138.059378594814,56,65550
BR0085,t3_0_c02731,54000.000000000000,par_factible,BR0080|BR0363,3.000000000000,391.509154021161,270.418918157633,284.666922283448,397.509154021161,276.418918157633,290.666922283448,2,4,6,48,137.396139767485,48,54000
BR0086,t3_0_c02230,70050.000000000000,par_factible,BR0051|BR0245,3.000000000000,393.555282378015,232.973500554299,238.125950324208,399.555282378015,238.973500554299,244.125950324208,2,5,7,70,130.179159361269,70,70050
BR0087,t3_0_c02148,34350.000000000000,par_factible,BR0050|BR0087,3.000000000000,393.091067535497,233.867256980065,227.079561543540,399.091067535497,239.867256980065,233.079561543540,2,5,7,70,130.266731548619,70,34350
BR0088,t3_0_c02927,28650.000000000000,par_factible,BR0089|BR0153,3.000000000000,393.707692424025,263.789457249705,246.609612684429,399.707692424025,269.789457249705,252.609612684429,2,4,7,56,136.492791661317,56,28650
BR0089,t3_0_c02048,71250.000000000000,par_factible,BR0048|BR0089,3.000000000000,391.471079795313,233.630666481262,248.209749977919,397.471079795313,239.630666481262,254.209749977919,2,5,7,70,129.888224266169,70,71250
BR0090,t3_0_c02148,114000.000000000000,par_factible,BR0050|BR0087,3.000000000000,393.091067535497,233.867256980065,227.079561543540,399.091067535497,239.867256980065,233.079561543540,2,5,7,70,130.266731548619,70,114000
BR0091,t3_0_c02984,65850.000000000000,par_factible,BR0091|BR0289,3.000000000000,392.728014516786,233.721351436929,216.275080893379,398.728014516786,239.721351436929,222.275080893379,2,5,8,80,130.162968336233,80,65850
BR0092,t3_0_c01389,2666250.000000000000,par_factible,BR0024|BR0272,3.000000000000,393.926643810439,271.254614848935,249.936472350173,399.926643810439,277.254614848935,255.936472350173,2,4,7,56,138.059378594814,56,2666250
BR0092XL,t3_0_c00962,2614800.000000000000,par_factible,BR0014|BR0026,3.000000000000,393.709108395608,293.774039414591,232.891854981838,399.709108395608,299.774039414591,238.891854981838,2,4,7,56,142.606144940952,56,2614800
BR0093,t3_0_c01389,3604500.000000000000,par_factible,BR0024|BR0272,3.000000000000,393.926643810439,271.254614848935,249.936472350173,399.926643810439,277.254614848935,255.936472350173,2,4,7,56,138.059378594814,56,3604500
BR0094,t3_0_c02065,6077400.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,6077400
BR0095,t3_0_c03395,1549050.000000000000,par_factible,BR0106|BR0125,3.000000000000,393.679803576818,271.143676591170,214.833582632121,399.679803576818,277.143676591170,220.833582632121,2,4,8,64,137.986437007085,64,1549050
BR0096,t3_0_c01179,886650.000000000000,par_factible,BR0020|BR0336,3.000000000000,392.579922309114,270.660762454932,193.633529189483,398.579922309114,276.660762454932,199.633529189483,2,4,9,72,137.663746815829,72,886650
BR0097,t3_0_c03114,258300.000000000000,par_factible,BR0097|BR0302,3.000000000000,393.794114158750,233.950962354025,209.483884683226,399.794114158750,239.950962354025,215.483884683226,2,5,8,80,130.427129507711,80,258300
BR0098,t3_0_c02065,803400.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,803400
BR0099,t3_0_c03114,120750.000000000000,par_factible,BR0097|BR0302,3.000000000000,393.794114158750,233.950962354025,209.483884683226,399.794114158750,239.950962354025,215.483884683226,2,5,8,80,130.427129507711,80,120750
BR0100,t3_0_c01885,147450.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,147450
BR0101,t3_0_c01885,42450.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,42450
BR0102,t3_0_c04434,55950.000000000000,par_factible,BR0149|BR0184,3.000000000000,393.817939885665,293.858578161277,185.063687650431,399.817939885665,299.858578161277,191.063687650431,2,4,9,72,142.645568026540,72,55950
BR0103,t3_0_c03328,145200.000000000000,par_factible,BR0103|BR0281,3.000000000000,393.464172072871,293.587905218947,213.748735251768,399.464172072871,299.587905218947,219.748735251768,2,4,8,64,142.518261044097,64,145200
BR0104,t3_0_c00182,306300.000000000000,optima_individual,BR0188,3.000000000000,393.456657286200,293.559680438227,193.726211629175,399.456657286200,299.559680438227,199.726211629175,2,4,9,72,142.510974689962,72,306300
BR0105,t3_0_c01885,1882950.000000000000,par_factible,BR0036|BR0146,3.000000000000,393.555692758424,293.708720516100,173.217411522359,399.555692758424,299.708720516100,179.217411522359,2,4,10,80,142.561550744522,80,1882950
BR0106,t3_0_c02065,29550.000000000000,par_factible,BR0048|BR0173,3.000000000000,393.379355375369,267.942798014790,218.900112316767,399.379355375369,273.942798014790,224.900112316767,2,4,8,64,137.272608924962,64,29550
BR0107,t3_0_c02927,218550.000000000000,par_factible,BR0089|BR0153,3.000000000000,393.707692424025,263.789457249705,246.609612684429,399.707692424025,269.789457249705,252.609612684429,2,4,7,56,136.492791661317,56,218550
BR0108,t3_0_c05813,42600.000000000000,par_factible,BR0345|BR0400,3.000000000000,393.891448512403,293.919553286123,311.631731930534,399.891448512403,299.919553286123,317.631731930534,2,4,5,40,142.672985712623,40,42600
BR0109,t3_0_c05813,67200.000000000000,par_factible,BR0345|BR0400,3.000000000000,393.891448512403,293.919553286123,311.631731930534,399.891448512403,299.919553286123,317.631731930534,2,4,5,40,142.672985712623,40,67200
BR0110,t3_0_c03395,295950.000000000000,par_factible,BR0106|BR0125,3.000000000000,393.679803576818,271.143676591170,214.833582632121,399.679803576818,277.143676591170,220.833582632121,2,4,8,64,137.986437007085,64,295950
BR0111,t3_0_c01179,446400.000000000000,par_factible,BR0020|BR0336,3.000000000000,392.579922309114,270.660762454932,193.633529189483,398.579922309114,276.660762454932,199.633529189483,2,4,9,72,137.663746815829,72,446400
BR0112,t3_0_c03395,54300.000000000000,par_factible,BR0106|BR0125,3.000000000000,393.679803576818,271.143676591170,214.833582632121,399.679803576818,277.143676591170,220.833582632121,2,4,8,64,137.986437007085,64,54300
BR0113,t3_0_c00012,24450.000000000000,optima_individual,BR0007,3.000000000000,393.879450675377,293.913580311683,293.899489682015,399.879450675377,299.913580311683,299.899489682015,2,4,6,48,142.669321938660,48,24450
BR0114,t3_0_c03929,28350.000000000000,par_factible,BR0130|BR0136,3.000000000000,393.828921779431,293.877356999302,265.931420790883,399.828921779431,299.877356999302,271.931420790883,2,4,6,48,142.651635453959,48,28350
BR0115,t3_0_c04025,161400.000000000000,par_factible,BR0134|BR0399,3.000000000000,393.403325358649,293.531366951489,284.889912118574,399.403325358649,299.531366951489,290.889912118574,2,4,6,48,142.494329345727,48,161400
BR0116,t3_0_c00017,11550.000000000000,optima_individual,BR0010,3.000000000000,392.705408975371,292.983218032755,157.357544839731,398.705408975371,298.983218032755,163.357544839731,2,4,11,88,142.240289531344,88,11550
BR0117,t3_0_c05690,77250.000000000000,par_factible,BR0305|BR0323,3.000000000000,393.397607007077,293.568154721256,249.904557806744,399.397607007077,299.568154721256,255.904557806744,2,4,7,56,142.500663579750,56,77250
BR0118,t3_0_c00962,44700.000000000000,par_factible,BR0014|BR0026,3.000000000000,393.709108395608,293.774039414591,232.891854981838,399.709108395608,299.774039414591,238.891854981838,2,4,7,56,142.606144940952,56,44700
BR0119,t3_0_c00182,74250.000000000000,optima_individual,BR0188,3.000000000000,393.456657286200,293.559680438227,193.726211629175,399.456657286200,299.559680438227,199.726211629175,2,4,9,72,142.510974689962,72,74250
BR0120,t3_0_c03328,1050.000000000000,par_factible,BR0103|BR0281,3.000000000000,393.464172072871,293.587905218947,213.748735251768,399.464172072871,299.587905218947,219.748735251768,2,4,8,64,142.518261044097,64,1050
BR0121,t3_0_c05177,46500.000000000000,par_factible,BR0212|BR0255,3.000000000000,392.717315350380,284.364648791201,353.218365142756,398.717315350380,290.364648791201,359.218365142756,2,4,5,40,140.485618220339,40,46500
BR0122,t3_0_c03807,65850.000000000000,par_factible,BR0122|BR0255,3.000000000000,391.120183611797,283.707138550864,370.895010978098,397.120183611797,289.707138550864,376.895010978098,2,4,4,32,140.025956251659,32,65850
BR0123,t3_0_c00012,28800.000000000000,optima_individual,BR0007,3.000000000000,393.879450675377,293.913580311683,293.899489682015,399.879450675377,299.913580311683,299.899489682015,2,4,6,48,142.669321938660,48,28800
BR0124,t3_0_c03807,57750.000000000000,par_factible,BR0122|BR0255,3.000000000000,391.120183611797,283.707138550864,370.895010978098,397.120183611797,289.707138550864,376.895010978098,2,4,4,32,140.025956251659,32,57750
BR0125,t3_0_c00182,34500.000000000000,optima_individual,BR0188,3.000000000000,393.456657286200,293.559680438227,193.726211629175,399.456657286200,299.559680438227,199.726211629175,2,4,9,72,142.510974689962,72,34500
BR0126,t3_0_c00215,157950.000000000000,optima_individual,BR0238,3.000000000000,393.693335084587,293.762924302295,251.100144978147,399.693335084587,299.762924302295,257.100144978147,2,4,7,56,142.600663101390,56,157950
BR0127,t3_0_c00182,140850.000000000000,optima_individual,BR0188,3.000000000000,393.456657286200,293.559680438227,193.726211629175,399.456657286200,299.559680438227,199.726211629175,2,4,9,72,142.510974689962,72,140850
BR0128,t3_0_c03395,13050.000000000000,par_factible,BR0106|BR0125,3.000000000000,393.679803576818,271.143676591170,214.833582632121,399.679803576818,277.143676591170,220.833582632121,2,4,8,64,137.986437007085,64,13050
BR0129,t3_0_c03395,6150.000000000000,par_factible,BR0106|BR0125,3.000000000000,393.679803576818,271.143676591170,214.833582632121,399.679803576818,277.143676591170,220.833582632121,2,4,8,64,137.986437007085,64,6150
